Nombre de la cuenta,Nombre de usuario,Tweet,Hora y fecha,Numero de comentarios,Numero de retweets,Numero de likes,Visualizaciones
Donald J. Trump,realDonaldTrump,"This is the hand of the man that the Democrats feel should be brought back to the United States, because he is such “a fine and innocent person.” They said he is not a member of MS-13, even though he’s got MS-13 tattooed onto his knuckles, and two Highly Respected Courts found",2025-04-18T22:27:57.000Z,6655,18598,108508,7565963
CALL TO ACTIVISM,CalltoActivism,"WTF. In an unbelievable showing of stupidity, Donald Trump admits he doesn’t know where the Congo in Africa is: “many people come from the Congo. I don’t know what that is.” He is the dumbest president we ever had.",2025-04-17T18:58:19.000Z,663,2367,7654,161659
Donald J. Trump,realDonaldTrump,"Sleepy Joe Biden, THE WORST PRESIDENT IN THE HISTORY OF THE UNITED STATES, has allowed millions and millions of Criminals, many of them murderers, drug dealers, and people released from prisons and mental institutions from all around the world, to enter our Country through it’s",2025-04-18T22:30:07.000Z,7467,10099,68416,6192299
BrooklynDad_Defiant!,mmpadellan,"Once again, if you're keeping count, the Florida State University shooter has been identified: - Not a drag queen - Not a trans person - Not an immigrant - Not woke - Not DEI Just a white trump supporter.",2025-04-17T23:00:01.000Z,4030,22091,146076,4288291
Brian Krassenstein,krassenstein,A 90 year old Holocaust survivor confronted Trump 's ICE director. What a legend.,2025-04-17T15:48:27.000Z,2110,21041,98779,2684225
The White House,WhiteHouse,"“As we approach this joyous Easter Sunday, I want to wish Christians everywhere a happy, and beautiful, and blessed holiday. America is a nation of believers. We need God. We want God. And with His help, we will make our nation stronger...” –President Donald J. Trump",2025-04-19T00:35:16.000Z,366,1191,5583,71808
Lara Trump,LaraLeaTrump,Friday afternoon girls photo,2025-04-18T22:33:15.000Z,320,314,6262,44953
CALL TO ACTIVISM,CalltoActivism,MAJOR BREAKING: Judge Boasberg has determined the Trump Administration’s willfull disregard of their lawful court Order is sufficient grounds for criminal contempt.,2025-04-16T16:14:24.000Z,3253,11103,71433,1670316
CALL TO ACTIVISM,CalltoActivism,"BREAKING: In a blockbuster revelation, Senator Van Hollen reveals the Trump Administration has promised to pay El Salvador $15 million, over double previous estimates, “to detain these prisoners, including the illegally abducted Kilmore.” This is illegal to do without Congress.",2025-04-18T20:47:33.000Z,723,5479,20233,519174
CALL TO ACTIVISM,CalltoActivism,JUST IN: China has just CANCELLED all jet orders from American manufacturer Boeing to in response to President Trump hitting the country with tariffs as high as 145% on Chinese goods. China will also no longer purchase any aircraft-related equipment from American companies.,2025-04-15T13:35:19.000Z,1828,5912,25197,2461695
Gunther Eagleman™,GuntherEagleman,Trump just posted this. Deportations are NOT slowing down.,2025-04-18T23:11:04.000Z,379,1969,9539,105290
No Lie with Brian Tyler Cohen,NoLieWithBTC,"When Andrew Tate was charged with rape and human trafficking, Trump intervened to fly him back to the US. When a working-class father of a disabled 5-year-old child was wrongfully deported, Trump refuses to lift a finger.",2025-04-15T21:53:06.000Z,4218,19939,82237,1839432
Gunther Eagleman™,GuntherEagleman,Trump just posted this. Deportations are NOT slowing down.,2025-04-18T23:11:04.000Z,379,1975,9564,105290
No Lie with Brian Tyler Cohen,NoLieWithBTC,"When Andrew Tate was charged with rape and human trafficking, Trump intervened to fly him back to the US. When a working-class father of a disabled 5-year-old child was wrongfully deported, Trump refuses to lift a finger.",2025-04-15T21:53:06.000Z,4218,19939,82237,1839432
Donald Trump Jr.,DonaldJTrumpJr,Go to http://,2025-04-18T15:19:42.000Z,2331,9283,40375,1758075
Donald J. Trump Posts From His Truth Social,TrumpDailyPosts,From Donald Trump Truth Social 04/18/25 07:06 PM,2025-04-18T23:56:00.000Z,50,171,924,41855
Charlie Kirk,charliekirk11,"Fifty-two billionaires publicly backed Donald Trump in the 2024 election. But guess what: 83 billionaires supported Kamala Harris! Yet now Bernie Sanders and AOC are on tour droning on about beating the ""oligarchs,"" while being the party of Reid Hoffman, George and Alex Soros,",2025-04-18T19:02:52.000Z,494,4829,16302,245162
Nick Sortor,nicksortor,: A federal appeals court has BLOCKED Activist Judge Boasberg’s plan to hold Trump officials in criminal contempt Another L for the left Boasberg’s goal was to ARREST Trump officials for not turning deportation planes around mid flight. His power trip is coming,2025-04-18T23:42:11.000Z,315,1572,6409,79683
MAGA Voice,MAGAVoice,BREAKING Italy’s Prime Minister Giorgia Meloni stuns the World by saying she wants to “Make The West Great Again” with President Trump Donald Trump : “WE CAN” THIS IS MASSIVE,2025-04-17T17:54:03.000Z,2093,17077,109079,2326935
Libs of TikTok,libsoftiktok,Dayton Public Schools (,2025-04-18T16:12:49.000Z,2339,8031,23889,450625
Jo,JoJoFromJerz,The Trump administration is paying the El Salvadoran government with OUR tax dollars to unlawfully imprison an innocent man in a fucking gulag.,2025-04-16T20:45:43.000Z,1928,4237,15256,300013
Benny Johnson,bennyjohnson,"Mike Cernovich Says The Deep State and Ukraine Plotted The Assassination Attempts on President Trump : ""Unravel the assassination plot against Trump , it's going to implicate many Senators and members of Congress. The Deep State and Ukraine tried to take out our President.""",2025-04-18T18:26:29.000Z,531,4857,12231,292040
Republicans against Trump,RpsAgainstTrump,"The Wall Street Journal Editorial Board: “President Trump ’s tariff war isn’t going well, with market ructions and evidence of a slowing economy. So it was probably inevitable that Mr. Trump would demand that the Federal Reserve ride to his rescue by cutting interest rates…The",2025-04-18T22:22:33.000Z,33,263,702,21250
໊,buffys,all trump supporters are ugly,2025-04-16T17:31:32.000Z,224,3264,22347,4774040
Watcher.Guru,WatcherGuru,JUST IN: President Trump says he's had nice conversations with China and it's going very good.,2025-04-18T17:28:05.000Z,1191,1989,15458,862676
Donald J. Trump (Daily News),TrumpRealDaily,Do you support President Trump on putting anyone who burns the American Flag in Prison for 1 year? A. YES B. NO,2025-04-19T00:03:47.000Z,177,37,319,6739
Hoodlum,NotHoodlum,"""President Trump , during your first term, you told 30,573 lies. Which one is your favorite?"" ""I don't lie."" ""That one is my favorite, too.""",2025-04-18T14:14:19.000Z,66,1076,3962,29316
Benny Johnson,bennyjohnson,"BREAKING: The Trump Administration has overhauled the http:// website into a massive lab leak data center displaying scientific proof that COVID was man-made in Wuhan, China. The official site now names Dr. Fauci as the criminal who covered-up COVID origins:",2025-04-18T14:07:02.000Z,1805,13665,49235,1767096
