Nombre de la cuenta,Nombre de usuario,Tweet,Hora y fecha,Numero de comentarios,Numero de retweets,Numero de likes,Visualizaciones
El Último Paladín,ultimopaladin,Las Fujitivas: Esposa y ex primeras Damas Eliane fugó a Israel y dejó a Toledo. Lilia Paredes fugó a México y dejó a Castillo. Y ahora Nadine quiere fugar a Brasil y dejar a Ollanta .,2025-04-16T00:43:28.000Z,21,42,79,4253
Carlo Martin,Liberfach0,"Nadine Heredia sobre la corrupción en una entrevista de hace 14 años: ""Me causa indignación jugar con la plata del pueblo, y a Ollanta también le asquea la corrupción"". Hoy, Nadine Heredia fué sentenciada por corrupción a 12 años, y Ollanta a 15 años.",2025-04-15T20:41:33.000Z,50,194,497,18551
Epicentro.TV,Epicentro_TV,El ex presidente Ollanta Humala acaba de ingresar a la Sala Penal Nacional para asistir a la lectura del adelanto de fallo en el juicio por la financiación de las campaña 2006 y 2011. La Fiscalía pide 20 años de cárcel paga Humala y 26 años para Nadine Heredia.,2025-04-15T13:57:18.000Z,16,12,66,14545
"Son Opiniones, No Datos",SonOpiniones_ND,Nadine Heredia es tan pendeja que hasta lo mando solo a Ollanta Humala para recibir la sentencia y lo metieron a cana xD,2025-04-15T19:05:22.000Z,3,12,47,3078
not dynn,dynn_3,Podrá ollanta recibir visitas conyugales?? De mí por ejemplo,2025-04-16T00:20:48.000Z,13,63,539,11010
Juan Carlos López ™,Hans_el_Erizo,"Ollanta aceptando su sentencia, se presentó y ahora es llevado por la policía y en horas estará en un penal Saben quien no fue lo suficientemente hombre y afrontar su futuro en prisión, aunque con lo corrupto que era,no le hubiera pasado nada? Exacto, Alan. Hizo la del cobarde",2025-04-15T17:16:07.000Z,37,236,1209,16007
Diario Expreso,ExpresoPeru,"Nadine Heredia, Eliane Karp y Lilia Paredes: tres ex primeras damas que abandonaron a sus esposos y permanecen refugiadas fuera del Perú",2025-04-15T23:12:29.000Z,45,102,160,5478
Carlos Jair Saq,JairSaq_,"Mientras twitter romantiza tontamente a Ollanta Humala, las familias de las víctimas asesinadas por la represión militar y policial en Conga, Tía María y Espinar tienen justicia al verlo tras las rejas.",2025-04-16T02:56:10.000Z,2,8,28,338
Exitosa Noticias,exitosape,"| Cancillería informó que la esposa de Ollanta Humala, Nadine Heredia, ingresó a la sede de la Embajada de Brasil en Perú y solicitó asilo tras condena de 15 años por lavado de activos. 95.5 FM 6.1 señal digital abierta Movistar: 34 SD - 734 HD",2025-04-15T21:34:57.000Z,8,3,5,2098
Perú21,peru21noticias,"La exprimera dama Nadine Heredia se asiló en la embajada de Brasil en Lima, luego de ser sentenciada a 15 años de cárcel por los aportes de campaña entregados por la empresa Odebrecht. La Cancillería peruana confirmó que la esposa del expresidente Ollanta Humala entró",2025-04-15T21:31:05.000Z,40,33,54,10671
