Hora,Usuario,Seguidores,Tweets,Following,Goal
2025-04-25 14:48:30,@cuarto_poder,0,0,913,339780
2025-04-25 14:48:40,@cuarto_poder,1660220,43279,913,339780
2025-04-25 14:48:43,@cuarto_poder,1660220,43279,913,339780
2025-04-25 14:48:45,@cuarto_poder,1660220,43279,913,339780
2025-04-25 14:48:47,@cuarto_poder,1660220,43279,913,339780
2025-04-25 14:48:50,@cuarto_poder,1660220,43279,913,339780
2025-04-25 14:48:52,@cuarto_poder,1660220,43279,913,339780
2025-04-25 14:48:54,@cuarto_poder,1660220,43279,913,339780
2025-04-25 14:48:56,@cuarto_poder,1660220,43279,913,339780
2025-04-25 14:48:59,@cuarto_poder,1660220,43279,913,339780
2025-04-25 14:49:01,@cuarto_poder,1660220,43279,913,339780
2025-04-25 14:49:04,@cuarto_poder,1660220,43279,913,339780
2025-04-25 14:49:06,@cuarto_poder,1660220,43279,913,339780
2025-04-25 14:49:08,@cuarto_poder,1660220,43279,913,339780
2025-04-25 14:49:11,@cuarto_poder,1660220,43279,913,339780
2025-04-25 14:49:13,@cuarto_poder,1660220,43279,913,339780
2025-04-25 14:49:15,@cuarto_poder,1660220,43279,913,339780
2025-04-25 14:49:18,@cuarto_poder,1660220,43279,913,339780
2025-04-25 14:49:20,@cuarto_poder,1660220,43279,913,339780
2025-04-25 14:49:23,@cuarto_poder,1660220,43279,913,339780
2025-04-25 14:49:25,@cuarto_poder,1660220,43279,913,339780
2025-04-25 14:49:27,@cuarto_poder,1660220,43279,913,339780
2025-04-25 14:49:30,@cuarto_poder,1660220,43279,913,339780
2025-04-25 14:49:32,@cuarto_poder,1660220,43279,913,339780
2025-04-25 14:49:34,@cuarto_poder,1660220,43279,913,339780
2025-04-25 14:49:37,@cuarto_poder,1660220,43279,913,339780
2025-04-25 14:49:39,@cuarto_poder,1660220,43279,913,339780
2025-04-25 14:49:42,@cuarto_poder,1660220,43279,913,339780
2025-04-25 14:49:44,@cuarto_poder,1660220,43279,913,339780
2025-04-25 14:49:46,@cuarto_poder,1660220,43279,913,339780
2025-04-25 14:49:49,@cuarto_poder,1660220,43279,913,339780
2025-04-25 14:49:51,@cuarto_poder,1660220,43279,913,339780
2025-04-25 14:49:53,@cuarto_poder,1660220,43279,913,339780
2025-04-25 14:49:56,@cuarto_poder,1660220,43279,913,339780
2025-04-25 14:49:58,@cuarto_poder,1660220,43279,913,339780
2025-04-25 14:50:00,@cuarto_poder,1660220,43279,913,339780
