Hora,Usuario,Seguidores,Tweets,Following,Goal
2025-04-25 14:48:11,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:48:30,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:48:36,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:48:40,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:48:42,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:48:45,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:48:47,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:48:49,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:48:52,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:48:54,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:48:56,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:48:59,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:49:01,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:49:03,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:49:06,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:49:08,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:49:10,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:49:13,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:49:15,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:49:18,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:49:20,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:49:23,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:49:25,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:49:27,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:49:30,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:49:32,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:49:34,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:49:37,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:49:39,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:49:42,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:49:44,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:49:47,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:49:49,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:49:51,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:49:54,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:49:56,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:49:58,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:50:01,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:50:03,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:50:05,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:50:08,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:50:10,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:50:13,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:50:15,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:50:17,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:50:20,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:50:22,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:50:24,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:50:27,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:50:29,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:50:32,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:50:34,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:50:36,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:50:39,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:50:41,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:50:43,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:50:46,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:50:48,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:50:51,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:50:53,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:50:55,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:50:58,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:51:00,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:51:02,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:51:05,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:51:07,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:51:09,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:51:12,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:51:14,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:51:16,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:51:18,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:51:21,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:51:23,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:51:25,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:51:28,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:51:30,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:51:32,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:51:35,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:51:37,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:51:39,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:51:42,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:51:44,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:51:46,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:51:49,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:51:51,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:51:53,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:51:56,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:51:58,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:52:00,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:52:03,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:52:05,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:52:07,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:52:10,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:52:12,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:52:14,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:52:17,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:52:19,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:52:21,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:52:24,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:52:26,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:52:28,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:52:31,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:52:33,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:52:35,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:52:38,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:52:40,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:52:42,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:52:45,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:52:47,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:52:49,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:52:52,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:52:54,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:52:56,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:52:59,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:53:01,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:53:04,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:53:06,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:53:08,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:53:11,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:53:13,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:53:15,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:53:18,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:53:20,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:53:22,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:53:25,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:53:27,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:53:29,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:53:31,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:53:34,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:53:36,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:53:38,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:53:41,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:53:43,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:53:45,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:53:48,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:53:50,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:53:52,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:53:55,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:53:57,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:53:59,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:54:02,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:54:04,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:54:06,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:54:09,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:54:11,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:54:13,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:54:15,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:54:18,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:54:20,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:54:22,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:54:25,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:54:27,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:54:29,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:54:32,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:54:34,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:54:36,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:54:39,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:54:41,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:54:43,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:54:46,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:54:48,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:54:50,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:54:53,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:54:55,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:54:57,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:55:00,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:55:02,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:55:04,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:55:06,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:55:09,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:55:11,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:55:13,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:55:16,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:55:18,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:55:20,@elmiyashiro,2167993,13901,1701,832007
2025-04-25 14:55:23,@elmiyashiro,2167993,13901,1701,832007
