Hora,Usuario,Seguidores,Tweets,Following,Goal
2025-04-25 09:04:23,@fcbarcelona,49844132,150106,120,155868
2025-04-25 09:04:36,@fcbarcelona,49844132,150106,120,155868
2025-04-25 09:04:39,@fcbarcelona,49844132,150106,120,155868
2025-04-25 09:04:41,@fcbarcelona,49844132,150106,120,155868
2025-04-25 09:04:44,@fcbarcelona,49844132,150106,120,155868
2025-04-25 09:04:46,@fcbarcelona,49844132,150106,120,155868
2025-04-25 09:04:48,@fcbarcelona,49844132,150106,120,155868
2025-04-25 09:04:51,@fcbarcelona,49844132,150106,120,155868
2025-04-25 09:04:53,@fcbarcelona,49844132,150106,120,155868
2025-04-25 09:04:56,@fcbarcelona,498441323,150106,120,1558678
2025-04-25 09:04:58,@fcbarcelona,49844133,150106,120,155867
2025-04-25 09:05:01,@fcbarcelona,49844133,150106,120,155867
2025-04-25 09:05:03,@fcbarcelona,49844133,150106,120,155867
2025-04-25 09:05:06,@fcbarcelona,49844133,150106,120,155867
2025-04-25 09:05:08,@fcbarcelona,49844133,150106,120,155867
2025-04-25 09:05:10,@fcbarcelona,49844133,150106,120,155867
2025-04-25 09:05:13,@fcbarcelona,49844133,150106,120,155867
2025-04-25 09:05:15,@fcbarcelona,49844133,150106,120,155867
2025-04-25 09:05:17,@fcbarcelona,49844133,150106,120,155867
2025-04-25 09:05:20,@fcbarcelona,49844133,150106,120,155867
2025-04-25 09:05:22,@fcbarcelona,49844133,150106,120,155867
2025-04-25 09:05:24,@fcbarcelona,49844133,150106,120,155867
2025-04-25 09:05:27,@fcbarcelona,498441334,150106,120,1558667
2025-04-25 09:05:29,@fcbarcelona,49844134,150106,120,155866
2025-04-25 09:05:32,@fcbarcelona,49844134,150106,120,155866
2025-04-25 09:05:34,@fcbarcelona,49844134,150106,120,155866
2025-04-25 09:05:37,@fcbarcelona,49844134,150106,120,155866
2025-04-25 09:05:39,@fcbarcelona,49844134,150106,120,155866
2025-04-25 09:05:42,@fcbarcelona,49844134,150106,120,155866
2025-04-25 09:05:44,@fcbarcelona,49844134,150106,120,155866
2025-04-25 09:05:47,@fcbarcelona,49844134,150106,120,155866
2025-04-25 09:05:49,@fcbarcelona,49844134,150106,120,155866
2025-04-25 09:05:52,@fcbarcelona,49844134,150106,120,155866
2025-04-25 09:05:54,@fcbarcelona,49844134,150106,120,155866
2025-04-25 09:05:57,@fcbarcelona,498441367,150106,120,1558634
2025-04-25 09:05:59,@fcbarcelona,49844137,150106,120,155863
2025-04-25 09:06:02,@fcbarcelona,49844137,150106,120,155863
2025-04-25 09:06:04,@fcbarcelona,49844137,150106,120,155863
2025-04-25 09:06:07,@fcbarcelona,49844137,150106,120,155863
2025-04-25 09:06:09,@fcbarcelona,49844137,150106,120,155863
2025-04-25 09:06:12,@fcbarcelona,49844137,150106,120,155863
2025-04-25 09:06:15,@fcbarcelona,49844137,150106,120,155863
2025-04-25 09:06:18,@fcbarcelona,49844137,150106,120,155863
2025-04-25 09:06:20,@fcbarcelona,49844137,150106,120,155863
2025-04-25 09:06:22,@fcbarcelona,49844137,150106,120,155863
2025-04-25 09:06:25,@fcbarcelona,49844137,150106,120,0000
2025-04-25 09:06:28,@fcbarcelona,49844140,150106,120,155860
2025-04-25 09:06:30,@fcbarcelona,49844140,150106,120,155860
2025-04-25 09:06:33,@fcbarcelona,49844140,150106,120,155860
2025-04-25 09:06:35,@fcbarcelona,49844140,150106,120,155860
2025-04-25 09:06:37,@fcbarcelona,49844140,150106,120,155860
2025-04-25 09:06:40,@fcbarcelona,49844140,150106,120,155860
2025-04-25 09:06:42,@fcbarcelona,49844140,150106,120,155860
2025-04-25 09:06:44,@fcbarcelona,49844140,150106,120,155860
2025-04-25 09:06:47,@fcbarcelona,49844140,150106,120,155860
2025-04-25 09:06:49,@fcbarcelona,49844140,150106,120,155860
2025-04-25 09:06:51,@fcbarcelona,49844140,150106,120,155860
2025-04-25 09:06:54,@fcbarcelona,49844140,150106,120,155860
2025-04-25 09:06:56,@fcbarcelona,498441401,150106,120,15585690
2025-04-25 09:06:59,@fcbarcelona,49844141,150106,120,155859
2025-04-25 09:07:01,@fcbarcelona,49844141,150106,120,155859
2025-04-25 09:07:03,@fcbarcelona,49844141,150106,120,155859
2025-04-25 09:07:06,@fcbarcelona,49844141,150106,120,155859
2025-04-25 09:07:08,@fcbarcelona,49844141,150106,120,155859
2025-04-25 09:07:11,@fcbarcelona,49844141,150106,120,155859
2025-04-25 09:07:13,@fcbarcelona,49844141,150106,120,155859
2025-04-25 09:07:15,@fcbarcelona,49844141,150106,120,155859
2025-04-25 09:07:18,@fcbarcelona,49844141,150106,120,155859
2025-04-25 09:07:20,@fcbarcelona,49844141,150106,120,155859
2025-04-25 09:07:22,@fcbarcelona,49844141,150106,120,155859
2025-04-25 09:07:25,@fcbarcelona,49844141,150106,120,155859
2025-04-25 09:07:27,@fcbarcelona,498441445,150106,120,1558556
2025-04-25 09:07:29,@fcbarcelona,49844145,150106,120,155855
2025-04-25 09:07:32,@fcbarcelona,49844145,150106,120,155855
2025-04-25 09:07:34,@fcbarcelona,49844145,150106,120,155855
2025-04-25 09:07:36,@fcbarcelona,49844145,150106,120,155855
2025-04-25 09:07:39,@fcbarcelona,49844145,150106,120,155855
2025-04-25 09:07:41,@fcbarcelona,49844145,150106,120,155855
2025-04-25 09:07:43,@fcbarcelona,49844145,150106,120,155855
2025-04-25 09:07:46,@fcbarcelona,49844145,150106,120,155855
2025-04-25 09:07:48,@fcbarcelona,49844145,150106,120,155855
2025-04-25 09:07:50,@fcbarcelona,49844145,150106,120,155855
2025-04-25 09:07:53,@fcbarcelona,49844145,150106,120,155855
2025-04-25 09:07:55,@fcbarcelona,49844145,150106,120,155855
2025-04-25 09:07:57,@fcbarcelona,498441478,150106,120,1558523
2025-04-25 09:08:00,@fcbarcelona,49844148,150106,120,155852
2025-04-25 09:08:02,@fcbarcelona,49844148,150106,120,155852
2025-04-25 09:08:05,@fcbarcelona,49844148,150106,120,155852
2025-04-25 09:08:07,@fcbarcelona,49844148,150106,120,155852
2025-04-25 09:08:09,@fcbarcelona,49844148,150106,120,155852
2025-04-25 09:08:12,@fcbarcelona,49844148,150106,120,155852
2025-04-25 09:08:14,@fcbarcelona,49844148,150106,120,155852
2025-04-25 09:08:17,@fcbarcelona,49844148,150106,120,155852
2025-04-25 09:08:19,@fcbarcelona,49844148,150106,120,155852
2025-04-25 09:08:21,@fcbarcelona,49844148,150106,120,155852
2025-04-25 09:08:24,@fcbarcelona,49844148,150106,120,155852
2025-04-25 09:08:26,@fcbarcelona,498441489,1501067,120,1558512
2025-04-25 09:08:29,@fcbarcelona,49844149,150107,120,155851
2025-04-25 09:08:31,@fcbarcelona,49844149,150107,120,155851
2025-04-25 09:08:33,@fcbarcelona,49844149,150107,120,155851
2025-04-25 09:08:36,@fcbarcelona,49844149,150107,120,155851
2025-04-25 09:08:38,@fcbarcelona,49844149,150107,120,155851
2025-04-25 09:08:41,@fcbarcelona,49844149,150107,120,155851
2025-04-25 09:08:43,@fcbarcelona,49844149,150107,120,155851
2025-04-25 09:08:45,@fcbarcelona,49844149,150107,120,155851
2025-04-25 09:08:48,@fcbarcelona,49844149,150107,120,155851
2025-04-25 09:08:50,@fcbarcelona,49844149,150107,120,155851
2025-04-25 09:08:53,@fcbarcelona,49844149,150107,120,155851
2025-04-25 09:08:55,@fcbarcelona,49844149,150107,120,155851
2025-04-25 09:08:58,@fcbarcelona,49844149,150107,120,155851
2025-04-25 09:09:00,@fcbarcelona,49844149,150107,120,155851
2025-04-25 09:09:03,@fcbarcelona,49844149,150107,120,155851
2025-04-25 09:09:05,@fcbarcelona,49844149,150107,120,155851
2025-04-25 09:09:07,@fcbarcelona,49844149,150107,120,155851
2025-04-25 09:09:10,@fcbarcelona,49844149,150107,120,155851
2025-04-25 09:09:12,@fcbarcelona,49844149,150107,120,155851
2025-04-25 09:09:15,@fcbarcelona,49844149,150107,120,155851
2025-04-25 09:09:17,@fcbarcelona,49844149,150107,120,155851
2025-04-25 09:09:19,@fcbarcelona,49844149,150107,120,155851
2025-04-25 09:09:22,@fcbarcelona,49844149,150107,120,155851
2025-04-25 09:09:24,@fcbarcelona,49844149,150107,120,155851
2025-04-25 09:09:26,@fcbarcelona,4984414512,150107,120,15584589
2025-04-25 09:09:29,@fcbarcelona,49844152,150107,120,155848
2025-04-25 09:09:31,@fcbarcelona,49844152,150107,120,155848
2025-04-25 09:09:34,@fcbarcelona,49844152,150107,120,155848
2025-04-25 09:09:36,@fcbarcelona,49844152,150107,120,155848
2025-04-25 09:09:38,@fcbarcelona,49844152,150107,120,155848
2025-04-25 09:09:41,@fcbarcelona,49844152,150107,120,155848
2025-04-25 09:09:43,@fcbarcelona,49844152,150107,120,155848
2025-04-25 09:09:45,@fcbarcelona,49844152,150107,120,155848
2025-04-25 09:09:48,@fcbarcelona,49844152,150107,120,155848
2025-04-25 09:09:50,@fcbarcelona,49844152,150107,120,155848
