Hora,Usuario,Seguidores,Tweets,Following,Goal
2025-04-25 09:04:23,@ibaillanos,0,0,0,0
2025-04-25 09:04:36,@ibaillanos,16439548,68799,998,3560452
2025-04-25 09:04:39,@ibaillanos,16439548,68799,998,3560452
2025-04-25 09:04:42,@ibaillanos,16439548,68799,998,3560452
2025-04-25 09:04:44,@ibaillanos,16439548,68799,998,3560452
2025-04-25 09:04:46,@ibaillanos,16439548,68799,998,3560452
2025-04-25 09:04:49,@ibaillanos,16439548,68799,998,3560452
2025-04-25 09:04:51,@ibaillanos,16439548,68799,998,3560452
2025-04-25 09:04:53,@ibaillanos,16439548,68799,998,3560452
2025-04-25 09:04:56,@ibaillanos,16439548,68799,998,3560452
2025-04-25 09:04:58,@ibaillanos,16439548,68799,998,3560452
2025-04-25 09:05:01,@ibaillanos,16439548,68799,998,3560452
2025-04-25 09:05:03,@ibaillanos,16439548,68799,998,3560452
2025-04-25 09:05:05,@ibaillanos,164395489,68799,998,35604512
2025-04-25 09:05:08,@ibaillanos,16439549,68799,998,3560451
2025-04-25 09:05:10,@ibaillanos,16439549,68799,998,3560451
2025-04-25 09:05:12,@ibaillanos,16439549,68799,998,3560451
2025-04-25 09:05:15,@ibaillanos,16439549,68799,998,3560451
2025-04-25 09:05:17,@ibaillanos,16439549,68799,998,3560451
2025-04-25 09:05:19,@ibaillanos,16439549,68799,998,3560451
2025-04-25 09:05:22,@ibaillanos,16439549,68799,998,3560451
2025-04-25 09:05:24,@ibaillanos,16439549,68799,998,3560451
2025-04-25 09:05:26,@ibaillanos,16439549,68799,998,3560451
2025-04-25 09:05:29,@ibaillanos,16439549,68799,998,3560451
2025-04-25 09:05:31,@ibaillanos,16439549,68799,998,3560451
2025-04-25 09:05:33,@ibaillanos,16439549,68799,998,0000
2025-04-25 09:05:36,@ibaillanos,16439550,68799,998,3560450
2025-04-25 09:05:38,@ibaillanos,16439550,68799,998,3560450
2025-04-25 09:05:40,@ibaillanos,16439550,68799,998,3560450
2025-04-25 09:05:43,@ibaillanos,16439550,68799,998,3560450
2025-04-25 09:05:45,@ibaillanos,16439550,68799,998,3560450
2025-04-25 09:05:47,@ibaillanos,16439550,68799,998,3560450
