Hora,Usuario,Seguidores,Tweets,Following,Goal
2025-04-24 12:57:33,@informacosmos,0,0,688,820929
2025-04-24 12:57:43,@informacosmos,1179071,35444,688,820929
2025-04-24 12:57:46,@informacosmos,1179071,35444,688,820929
2025-04-24 12:57:48,@informacosmos,1179071,35444,688,820929
2025-04-24 12:57:51,@informacosmos,1179071,35444,688,820929
2025-04-24 12:57:53,@informacosmos,1179071,35444,688,820929
2025-04-24 12:57:55,@informacosmos,1179071,35444,688,820929
2025-04-24 12:57:57,@informacosmos,1179071,35444,688,820929
2025-04-24 12:58:00,@informacosmos,1179071,35444,688,820929
2025-04-24 12:58:02,@informacosmos,1179071,35444,688,820929
2025-04-24 12:58:04,@informacosmos,1179071,35444,688,820929
2025-04-24 12:58:06,@informacosmos,11790712,35444,688,8209289
2025-04-24 12:58:09,@informacosmos,1179072,35444,688,820928
2025-04-24 12:58:11,@informacosmos,1179072,35444,688,820928
2025-04-24 12:58:13,@informacosmos,1179072,35444,688,820928
2025-04-24 12:58:15,@informacosmos,1179072,35444,688,820928
2025-04-24 12:58:18,@informacosmos,1179072,35444,688,820928
2025-04-24 12:58:20,@informacosmos,1179072,35444,688,820928
2025-04-24 12:58:22,@informacosmos,1179072,35444,688,820928
2025-04-24 12:58:24,@informacosmos,1179072,35444,688,820928
2025-04-24 12:58:27,@informacosmos,1179072,35444,688,820928
2025-04-24 12:58:29,@informacosmos,1179072,35444,688,820928
2025-04-24 12:58:31,@informacosmos,1179072,35444,688,820928
2025-04-24 12:58:33,@informacosmos,1179072,35444,688,820928
2025-04-24 12:58:35,@informacosmos,1179072,35444,688,820928
2025-04-24 12:58:38,@informacosmos,1179072,35444,688,820928
2025-04-24 12:58:40,@informacosmos,1179072,35444,688,820928
2025-04-24 12:58:42,@informacosmos,1179072,35444,688,820928
2025-04-24 12:58:44,@informacosmos,1179072,35444,688,820928
2025-04-24 12:58:47,@informacosmos,1179072,35444,688,820928
2025-04-24 12:58:49,@informacosmos,1179072,35444,688,820928
2025-04-24 12:58:51,@informacosmos,1179072,35444,688,820928
2025-04-24 12:58:53,@informacosmos,1179072,35444,688,820928
2025-04-24 12:58:55,@informacosmos,1179072,35444,688,820928
2025-04-24 12:58:58,@informacosmos,1179072,35444,688,820928
2025-04-24 12:59:00,@informacosmos,1179072,35444,688,820928
2025-04-24 12:59:02,@informacosmos,1179072,35444,688,820928
2025-04-24 12:59:04,@informacosmos,1179072,35444,688,820928
2025-04-24 12:59:07,@informacosmos,1179072,35444,688,820928
2025-04-24 12:59:09,@informacosmos,1179072,35444,688,820928
2025-04-24 12:59:11,@informacosmos,1179072,35444,688,820928
2025-04-24 12:59:13,@informacosmos,1179072,35444,688,820928
2025-04-24 12:59:15,@informacosmos,1179072,35444,688,820928
2025-04-24 12:59:18,@informacosmos,1179072,35444,688,820928
2025-04-24 12:59:20,@informacosmos,1179072,35444,688,820928
2025-04-24 12:59:22,@informacosmos,1179072,35444,688,820928
2025-04-24 12:59:24,@informacosmos,1179072,35444,688,820928
2025-04-24 12:59:26,@informacosmos,1179072,35444,688,820928
2025-04-24 12:59:29,@informacosmos,1179072,35444,688,820928
2025-04-24 12:59:31,@informacosmos,1179072,35444,688,820928
2025-04-24 12:59:33,@informacosmos,1179072,35444,688,820928
2025-04-24 12:59:35,@informacosmos,1179072,35444,688,820928
2025-04-24 12:59:38,@informacosmos,1179072,35444,688,820928
2025-04-24 12:59:40,@informacosmos,1179072,35444,688,820928
