Hora,Usuario,Seguidores,Tweets,Following,Goal
2025-04-25 14:48:12,@ollanta_humalat,0,0,0,0
2025-04-25 14:48:15,@ollanta_humalat,0000,2607,91,447658
2025-04-25 14:48:36,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:48:39,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:48:42,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:48:44,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:48:47,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:48:49,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:48:51,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:48:53,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:48:56,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:48:58,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:49:01,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:49:03,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:49:05,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:49:08,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:49:10,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:49:13,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:49:15,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:49:17,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:49:19,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:49:22,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:49:24,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:49:26,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:49:29,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:49:32,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:49:34,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:49:36,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:49:39,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:49:41,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:49:43,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:49:46,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:49:48,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:49:50,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:49:53,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:49:55,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:49:57,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:49:59,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:50:02,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:50:04,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:50:06,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:50:09,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:50:11,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:50:13,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:50:16,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:50:18,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:50:20,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:50:22,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:50:25,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:50:27,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:50:29,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:50:32,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:50:34,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:50:36,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:50:39,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:50:41,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:50:44,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:50:46,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:50:48,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:50:51,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:50:53,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:50:56,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:50:58,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:51:00,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:51:03,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:51:05,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:51:07,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:51:10,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:51:12,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:51:14,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:51:17,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:51:19,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:51:21,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:51:23,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:51:26,@ollanta_humalat,1552342,2607,91,447658
2025-04-25 14:51:28,@ollanta_humalat,1552342,2607,91,447658
