Hora,Usuario,Seguidores,Tweets,Following,Goal
2025-04-25 14:48:21,@universitario,0,0,64,944074
2025-04-25 14:48:38,@universitario,1055926,70280,64,944074
2025-04-25 14:48:41,@universitario,1055926,70280,64,944074
2025-04-25 14:48:44,@universitario,1055926,70280,64,944074
2025-04-25 14:48:46,@universitario,1055926,70280,64,944074
2025-04-25 14:48:48,@universitario,1055926,70280,64,944074
2025-04-25 14:48:51,@universitario,1055926,70280,64,944074
2025-04-25 14:48:53,@universitario,1055926,70280,64,944074
2025-04-25 14:48:56,@universitario,1055926,70280,64,944074
2025-04-25 14:48:58,@universitario,1055926,70280,64,944074
2025-04-25 14:49:00,@universitario,1055926,70280,64,944074
2025-04-25 14:49:03,@universitario,1055926,70280,64,944074
2025-04-25 14:49:05,@universitario,1055926,70280,64,944074
2025-04-25 14:49:07,@universitario,1055926,70280,64,944074
2025-04-25 14:49:10,@universitario,1055926,70280,64,944074
2025-04-25 14:49:12,@universitario,1055926,70280,64,944074
2025-04-25 14:49:15,@universitario,1055926,70280,64,944074
2025-04-25 14:49:17,@universitario,1055926,70280,64,944074
2025-04-25 14:49:19,@universitario,1055926,70280,64,944074
2025-04-25 14:49:22,@universitario,1055926,70280,64,944074
2025-04-25 14:49:24,@universitario,1055926,70280,64,944074
2025-04-25 14:49:26,@universitario,1055926,70280,64,944074
2025-04-25 14:49:29,@universitario,1055926,70280,64,944074
2025-04-25 14:49:31,@universitario,1055926,70280,64,944074
2025-04-25 14:49:34,@universitario,1055926,70280,64,944074
2025-04-25 14:49:36,@universitario,1055926,70280,64,944074
2025-04-25 14:49:38,@universitario,1055926,70280,64,944074
2025-04-25 14:49:41,@universitario,1055926,70280,64,944074
2025-04-25 14:49:43,@universitario,1055926,70280,64,944074
2025-04-25 14:49:45,@universitario,1055926,70280,64,944074
2025-04-25 14:49:47,@universitario,1055926,70280,64,944074
2025-04-25 14:49:50,@universitario,1055926,70280,64,944074
2025-04-25 14:49:52,@universitario,1055926,70280,64,944074
2025-04-25 14:49:54,@universitario,1055926,70280,64,944074
2025-04-25 14:49:57,@universitario,1055926,70280,64,944074
2025-04-25 14:49:59,@universitario,1055926,70280,64,944074
2025-04-25 14:50:02,@universitario,1055926,70280,64,944074
2025-04-25 14:50:04,@universitario,1055926,70280,64,944074
2025-04-25 14:50:06,@universitario,1055926,70280,64,944074
2025-04-25 14:50:08,@universitario,1055926,70280,64,944074
2025-04-25 14:50:11,@universitario,1055926,70280,64,944074
2025-04-25 14:50:13,@universitario,1055926,70280,64,944074
2025-04-25 14:50:15,@universitario,1055926,70280,64,944074
2025-04-25 14:50:18,@universitario,1055926,70280,64,944074
2025-04-25 14:50:20,@universitario,1055926,70280,64,944074
2025-04-25 14:50:22,@universitario,1055926,70280,64,944074
2025-04-25 14:50:25,@universitario,1055926,70280,64,944074
2025-04-25 14:50:27,@universitario,1055926,70280,64,944074
2025-04-25 14:50:29,@universitario,1055926,70280,64,944074
2025-04-25 14:50:32,@universitario,1055926,70280,64,944074
2025-04-25 14:50:34,@universitario,1055926,70280,64,944074
2025-04-25 14:50:37,@universitario,1055926,70280,64,944074
2025-04-25 14:50:39,@universitario,1055926,70280,64,944074
2025-04-25 14:50:41,@universitario,1055926,70280,64,944074
2025-04-25 14:50:44,@universitario,1055926,70280,64,944074
2025-04-25 14:50:46,@universitario,1055926,70280,64,944074
2025-04-25 14:50:49,@universitario,1055926,70280,64,944074
2025-04-25 14:50:51,@universitario,1055926,70280,64,944074
2025-04-25 14:50:53,@universitario,1055926,70280,64,944074
2025-04-25 14:50:56,@universitario,1055926,70280,64,944074
2025-04-25 14:50:58,@universitario,1055926,70280,64,944074
2025-04-25 14:51:01,@universitario,1055926,70280,64,944074
2025-04-25 14:51:03,@universitario,1055926,70280,64,944074
2025-04-25 14:51:05,@universitario,1055926,70280,64,944074
2025-04-25 14:51:08,@universitario,1055926,70280,64,944074
2025-04-25 14:51:10,@universitario,1055926,70280,64,944074
2025-04-25 14:51:12,@universitario,1055926,70280,64,944074
2025-04-25 14:51:15,@universitario,1055926,70280,64,944074
2025-04-25 14:51:17,@universitario,1055926,70280,64,944074
2025-04-25 14:51:19,@universitario,1055926,70280,64,944074
2025-04-25 14:51:21,@universitario,1055926,70280,64,944074
2025-04-25 14:51:24,@universitario,1055926,70280,64,944074
2025-04-25 14:51:26,@universitario,1055926,70280,64,944074
2025-04-25 14:51:28,@universitario,1055926,70280,64,944074
2025-04-25 14:51:31,@universitario,1055926,70280,64,944074
2025-04-25 14:51:33,@universitario,1055926,70280,64,944074
2025-04-25 14:51:35,@universitario,1055926,70280,64,944074
2025-04-25 14:51:37,@universitario,1055926,70280,64,944074
2025-04-25 14:51:40,@universitario,1055926,70280,64,944074
2025-04-25 14:51:42,@universitario,1055926,70280,64,944074
2025-04-25 14:51:44,@universitario,1055926,70280,64,944074
2025-04-25 14:51:47,@universitario,1055926,70280,64,944074
2025-04-25 14:51:49,@universitario,1055926,70280,64,944074
2025-04-25 14:51:51,@universitario,1055926,70280,64,944074
2025-04-25 14:51:54,@universitario,1055926,70280,64,944074
2025-04-25 14:51:56,@universitario,1055926,70280,64,944074
2025-04-25 14:51:58,@universitario,1055926,70280,64,944074
2025-04-25 14:52:01,@universitario,1055926,70280,64,944074
2025-04-25 14:52:03,@universitario,1055926,70280,64,944074
2025-04-25 14:52:05,@universitario,1055926,70280,64,944074
2025-04-25 14:52:08,@universitario,1055926,70280,64,944074
2025-04-25 14:52:10,@universitario,1055926,70280,64,944074
2025-04-25 14:52:12,@universitario,1055926,70280,64,944074
2025-04-25 14:52:14,@universitario,1055926,70280,64,944074
2025-04-25 14:52:17,@universitario,1055926,70280,64,944074
2025-04-25 14:52:19,@universitario,1055926,70280,64,944074
2025-04-25 14:52:21,@universitario,1055926,70280,64,944074
2025-04-25 14:52:24,@universitario,1055926,70280,64,944074
2025-04-25 14:52:26,@universitario,1055926,70280,64,944074
2025-04-25 14:52:28,@universitario,1055926,70280,64,944074
2025-04-25 14:52:31,@universitario,1055926,70280,64,944074
2025-04-25 14:52:33,@universitario,1055926,70280,64,944074
2025-04-25 14:52:35,@universitario,1055926,70280,64,944074
2025-04-25 14:52:38,@universitario,1055926,70280,64,944074
