Hora,Usuario,Seguidores,Tweets,Following,Goal
2025-04-25 14:48:19,@cachinalcantara,2452407,649,74,547593
2025-04-25 14:48:36,@cachinalcantara,2452407,649,74,547593
2025-04-25 14:48:40,@cachinalcantara,2452407,649,74,547593
2025-04-25 14:48:42,@cachinalcantara,2452407,649,74,547593
2025-04-25 14:48:45,@cachinalcantara,2452407,649,74,547593
2025-04-25 14:48:47,@cachinalcantara,2452407,649,74,547593
2025-04-25 14:48:49,@cachinalcantara,2452407,649,74,547593
2025-04-25 14:48:52,@cachinalcantara,2452407,649,74,547593
2025-04-25 14:48:54,@cachinalcantara,2452407,649,74,547593
2025-04-25 14:48:56,@cachinalcantara,2452407,649,74,547593
2025-04-25 14:48:58,@cachinalcantara,2452407,649,74,547593
2025-04-25 14:49:01,@cachinalcantara,2452407,649,74,547593
2025-04-25 14:49:03,@cachinalcantara,2452407,649,74,547593
2025-04-25 14:49:05,@cachinalcantara,2452407,649,74,547593
2025-04-25 14:49:08,@cachinalcantara,2452407,649,74,547593
2025-04-25 14:49:10,@cachinalcantara,2452407,649,74,547593
2025-04-25 14:49:13,@cachinalcantara,2452407,649,74,547593
2025-04-25 14:49:15,@cachinalcantara,2452407,649,74,547593
2025-04-25 14:49:18,@cachinalcantara,2452407,649,74,547593
2025-04-25 14:49:20,@cachinalcantara,2452407,649,74,547593
2025-04-25 14:49:22,@cachinalcantara,2452407,649,74,547593
2025-04-25 14:49:24,@cachinalcantara,2452407,649,74,547593
2025-04-25 14:49:27,@cachinalcantara,2452407,649,74,547593
2025-04-25 14:49:29,@cachinalcantara,2452407,649,74,547593
2025-04-25 14:49:32,@cachinalcantara,2452407,649,74,547593
2025-04-25 14:49:34,@cachinalcantara,2452407,649,74,547593
2025-04-25 14:49:37,@cachinalcantara,2452407,649,74,547593
2025-04-25 14:49:39,@cachinalcantara,2452407,649,74,547593
2025-04-25 14:49:42,@cachinalcantara,2452407,649,74,547593
2025-04-25 14:49:44,@cachinalcantara,2452407,649,74,547593
2025-04-25 14:49:47,@cachinalcantara,2452407,649,74,547593
2025-04-25 14:49:49,@cachinalcantara,2452407,649,74,547593
2025-04-25 14:49:51,@cachinalcantara,2452407,649,74,547593
2025-04-25 14:49:54,@cachinalcantara,2452407,649,74,547593
