Hora,Usuario,Seguidores,Tweets,Following,Goal
2025-04-25 14:48:07,@gianmarcomusica,0,36701,144,310890
2025-04-25 14:48:32,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:48:37,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:48:40,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:48:42,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:48:45,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:48:47,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:48:49,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:48:52,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:48:54,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:48:56,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:48:59,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:49:01,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:49:04,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:49:06,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:49:08,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:49:11,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:49:13,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:49:15,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:49:18,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:49:20,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:49:23,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:49:25,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:49:27,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:49:30,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:49:32,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:49:34,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:49:37,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:49:39,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:49:42,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:49:44,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:49:47,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:49:49,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:49:52,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:49:54,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:49:56,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:49:59,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:50:01,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:50:03,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:50:06,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:50:08,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:50:10,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:50:13,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:50:15,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:50:17,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:50:20,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:50:22,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:50:24,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:50:27,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:50:29,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:50:32,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:50:34,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:50:36,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:50:39,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:50:41,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:50:44,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:50:46,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:50:48,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:50:51,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:50:53,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:50:56,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:50:58,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:51:00,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:51:03,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:51:05,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:51:07,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:51:10,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:51:12,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:51:14,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:51:17,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:51:19,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:51:21,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:51:23,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:51:26,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:51:28,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:51:30,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:51:33,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:51:35,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:51:37,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:51:39,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:51:42,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:51:44,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:51:47,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:51:49,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:51:51,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:51:54,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:51:56,@gianmarcomusica,3689110,36701,144,310890
2025-04-25 14:51:58,@gianmarcomusica,3689110,36701,144,310890
