Hora,Usuario,Seguidores,Tweets,Following,Goal
2025-04-24 16:30:22,@atu_gobperu,0,0,0,0
2025-04-24 16:30:28,@atu_gobperu,0,0,0,0
2025-04-24 16:30:30,@atu_gobperu,0000,11842,511,5368
2025-04-24 16:30:34,@atu_gobperu,54632,11842,511,5368
2025-04-24 16:30:36,@atu_gobperu,54632,11842,511,5368
2025-04-24 16:30:38,@atu_gobperu,54632,11842,511,5368
2025-04-24 16:30:41,@atu_gobperu,54632,11842,511,5368
2025-04-24 16:30:43,@atu_gobperu,54632,11842,511,5368
2025-04-24 16:30:45,@atu_gobperu,54632,11842,511,5368
2025-04-24 16:30:47,@atu_gobperu,54632,11842,511,5368
2025-04-24 16:30:49,@atu_gobperu,54632,11842,511,5368
2025-04-24 16:30:51,@atu_gobperu,54632,11842,511,5368
2025-04-24 16:30:54,@atu_gobperu,54632,11842,511,5368
2025-04-24 16:30:56,@atu_gobperu,54632,11842,511,5368
2025-04-24 16:30:58,@atu_gobperu,54632,11842,511,5368
2025-04-24 16:31:00,@atu_gobperu,54632,11842,511,5368
2025-04-24 16:31:03,@atu_gobperu,54632,11842,511,5368
2025-04-24 16:31:05,@atu_gobperu,54632,11842,511,5368
2025-04-24 16:31:07,@atu_gobperu,54632,11842,511,5368
2025-04-24 16:31:09,@atu_gobperu,54632,11842,511,5368
2025-04-24 16:31:11,@atu_gobperu,54632,11842,511,5368
2025-04-24 16:31:13,@atu_gobperu,54632,11842,511,5368
2025-04-24 16:31:16,@atu_gobperu,54632,11842,511,5368
2025-04-24 16:31:18,@atu_gobperu,54632,11842,511,5368
2025-04-24 16:31:20,@atu_gobperu,54632,11842,511,5368
2025-04-24 16:31:22,@atu_gobperu,54632,11842,511,5368
2025-04-24 16:31:24,@atu_gobperu,54632,11842,511,5368
2025-04-24 16:31:26,@atu_gobperu,54632,11842,511,5368
2025-04-24 16:31:29,@atu_gobperu,54632,11842,511,5368
2025-04-24 16:31:31,@atu_gobperu,54632,11842,511,5368
2025-04-24 16:31:33,@atu_gobperu,54632,11842,511,5368
2025-04-24 16:31:35,@atu_gobperu,54632,11842,511,5368
2025-04-24 16:31:37,@atu_gobperu,54632,11842,511,5368
2025-04-24 16:31:40,@atu_gobperu,54632,11842,511,5368
2025-04-24 16:31:42,@atu_gobperu,54632,11842,511,5368
2025-04-24 16:31:44,@atu_gobperu,54632,11842,511,5368
2025-04-24 16:31:46,@atu_gobperu,54632,11842,511,5368
2025-04-24 16:31:48,@atu_gobperu,54632,11842,511,5368
