Hora,Usuario,Seguidores,Tweets,Following,Goal
2025-04-25 14:48:11,"@Error,",0,0,0,0
2025-04-25 14:48:26,"@Error,",0,0,0,0
2025-04-25 14:48:32,"@Error,",0,0,0,0
2025-04-25 14:48:37,"@Error,",0,0,0,0
2025-04-25 14:48:40,"@Error,",0,0,0,0
2025-04-25 14:48:42,"@Error,",0,0,0,0
2025-04-25 14:48:44,"@Error,",0,0,0,0
2025-04-25 14:48:46,"@Error,",0,0,0,0
2025-04-25 14:48:48,"@Error,",0,0,0,0
2025-04-25 14:48:51,"@Error,",0,0,0,0
2025-04-25 14:48:53,"@Error,",0,0,0,0
2025-04-25 14:48:55,"@Error,",0,0,0,0
2025-04-25 14:48:57,"@Error,",0,0,0,0
2025-04-25 14:48:59,"@Error,",0,0,0,0
2025-04-25 14:49:01,"@Error,",0,0,0,0
2025-04-25 14:49:04,"@Error,",0,0,0,0
2025-04-25 14:49:06,"@Error,",0,0,0,0
2025-04-25 14:49:08,"@Error,",0,0,0,0
2025-04-25 14:49:10,"@Error,",0,0,0,0
2025-04-25 14:49:12,"@Error,",0,0,0,0
2025-04-25 14:49:15,"@Error,",0,0,0,0
2025-04-25 14:49:17,"@Error,",0,0,0,0
2025-04-25 14:49:19,"@Error,",0,0,0,0
2025-04-25 14:49:21,"@Error,",0,0,0,0
2025-04-25 14:49:23,"@Error,",0,0,0,0
2025-04-25 14:49:25,"@Error,",0,0,0,0
2025-04-25 14:49:28,"@Error,",0,0,0,0
2025-04-25 14:49:30,"@Error,",0,0,0,0
2025-04-25 14:49:32,"@Error,",0,0,0,0
2025-04-25 14:49:34,"@Error,",0,0,0,0
2025-04-25 14:49:36,"@Error,",0,0,0,0
2025-04-25 14:49:39,"@Error,",0,0,0,0
2025-04-25 14:49:41,"@Error,",0,0,0,0
2025-04-25 14:49:43,"@Error,",0,0,0,0
2025-04-25 14:49:45,"@Error,",0,0,0,0
2025-04-25 14:49:47,"@Error,",0,0,0,0
2025-04-25 14:49:49,"@Error,",0,0,0,0
2025-04-25 14:49:52,"@Error,",0,0,0,0
2025-04-25 14:49:54,"@Error,",0,0,0,0
2025-04-25 14:49:56,"@Error,",0,0,0,0
2025-04-25 14:49:58,"@Error,",0,0,0,0
2025-04-25 14:50:00,"@Error,",0,0,0,0
2025-04-25 14:50:02,"@Error,",0,0,0,0
