Hora,Usuario,Seguidores,Tweets,Following,Goal
2025-04-24 13:14:43,@cnnee,0,502960,226,7442207
2025-04-24 13:14:54,@cnnee,22557793,502960,226,7442207
2025-04-24 13:14:56,@cnnee,22557793,502960,226,7442207
2025-04-24 13:14:59,@cnnee,22557793,502960,226,7442207
2025-04-24 13:15:01,@cnnee,22557793,502960,226,7442207
2025-04-24 13:15:04,@cnnee,22557793,502960,226,7442207
2025-04-24 13:15:06,@cnnee,22557793,502960,226,7442207
2025-04-24 13:15:09,@cnnee,22557793,502960,226,7442207
2025-04-24 13:15:11,@cnnee,22557793,502960,226,7442207
2025-04-24 13:15:14,@cnnee,22557793,502960,226,7442207
2025-04-24 13:15:16,@cnnee,22557793,502960,226,7442207
2025-04-24 13:15:19,@cnnee,22557793,502960,226,7442207
2025-04-24 13:15:22,@cnnee,22557793,502960,226,7442207
2025-04-24 13:15:25,@cnnee,22557793,502960,226,7442207
2025-04-24 13:15:28,@cnnee,22557793,502960,226,7442207
2025-04-24 13:15:31,@cnnee,22557793,502960,226,7442207
2025-04-24 13:15:34,@cnnee,22557793,502960,226,7442207
2025-04-24 13:15:36,@cnnee,22557793,502960,226,7442207
2025-04-24 13:15:39,@cnnee,22557793,502960,226,7442207
2025-04-24 13:15:41,@cnnee,22557793,502960,226,7442207
2025-04-24 13:15:43,@cnnee,22557793,502960,226,7442207
2025-04-24 13:15:46,@cnnee,22557793,502960,226,7442207
2025-04-24 13:15:48,@cnnee,22557793,502960,226,7442207
2025-04-24 13:15:50,@cnnee,22557793,502960,226,7442207
2025-04-24 13:15:53,@cnnee,22557793,502960,226,7442207
2025-04-24 13:15:55,@cnnee,22557793,502960,226,7442207
2025-04-24 13:15:58,@cnnee,22557793,502960,226,7442207
2025-04-24 13:16:00,@cnnee,22557793,502960,226,7442207
2025-04-24 13:16:03,@cnnee,22557793,502960,226,7442207
2025-04-24 13:16:05,@cnnee,22557793,502960,226,7442207
2025-04-24 13:16:08,@cnnee,22557793,502960,226,7442207
2025-04-24 13:16:11,@cnnee,22557793,502960,226,7442207
2025-04-24 13:16:13,@cnnee,22557793,502960,226,7442207
2025-04-24 13:16:16,@cnnee,22557793,502960,226,7442207
2025-04-24 13:16:19,@cnnee,22557793,502960,226,7442207
2025-04-24 13:16:21,@cnnee,22557793,502960,226,7442207
2025-04-24 13:16:24,@cnnee,22557793,502960,226,7442207
2025-04-24 13:16:26,@cnnee,22557793,502960,226,7442207
2025-04-24 13:16:29,@cnnee,22557793,502960,226,7442207
2025-04-24 13:16:31,@cnnee,22557793,502960,226,7442207
2025-04-24 13:16:33,@cnnee,22557793,502960,226,7442207
2025-04-24 13:16:36,@cnnee,22557793,502960,226,7442207
2025-04-24 13:16:38,@cnnee,22557793,502960,226,7442207
2025-04-24 13:16:40,@cnnee,22557793,502960,226,7442207
2025-04-24 13:16:43,@cnnee,22557793,502960,226,7442207
2025-04-24 13:16:45,@cnnee,22557793,502960,226,7442207
2025-04-24 13:16:47,@cnnee,22557793,502960,226,7442207
2025-04-24 13:16:50,@cnnee,22557793,502960,226,7442207
2025-04-24 13:16:53,@cnnee,22557793,502960,226,7442207
2025-04-24 13:16:55,@cnnee,22557793,502960,226,7442207
2025-04-24 13:16:58,@cnnee,22557793,502960,226,7442207
2025-04-24 13:17:00,@cnnee,22557793,502960,226,7442207
2025-04-24 13:17:03,@cnnee,22557793,502960,226,7442207
2025-04-24 13:17:05,@cnnee,22557793,502960,226,7442207
2025-04-24 13:17:07,@cnnee,22557793,502960,226,7442207
2025-04-24 13:17:10,@cnnee,22557793,502960,226,7442207
2025-04-24 13:17:12,@cnnee,22557793,502960,226,7442207
2025-04-24 13:17:15,@cnnee,22557793,502960,226,7442207
2025-04-24 13:17:17,@cnnee,22557793,502960,226,7442207
2025-04-24 13:17:20,@cnnee,22557793,502960,226,7442207
2025-04-24 13:17:22,@cnnee,22557793,502960,226,7442207
2025-04-24 13:17:25,@cnnee,22557793,502960,226,7442207
2025-04-24 13:17:28,@cnnee,22557793,502960,226,7442207
2025-04-24 13:17:30,@cnnee,22557793,502960,226,7442207
2025-04-24 13:17:33,@cnnee,22557793,502960,226,7442207
2025-04-24 13:17:35,@cnnee,22557793,502960,226,7442207
2025-04-24 13:17:37,@cnnee,22557793,502960,226,7442207
2025-04-24 13:17:40,@cnnee,22557793,502960,226,7442207
2025-04-24 13:17:42,@cnnee,22557793,502960,226,7442207
2025-04-24 13:17:45,@cnnee,22557793,502960,226,7442207
2025-04-24 13:17:47,@cnnee,22557793,502960,226,7442207
2025-04-24 13:17:50,@cnnee,22557793,502960,226,7442207
