Hora,Usuario,Seguidores,Tweets,Following,Goal
2025-04-25 09:04:18,@espnfc,0000,164850,617,3039812
2025-04-25 09:04:39,@espnfc,16960188,164850,617,3039812
2025-04-25 09:04:41,@espnfc,16960188,164850,617,3039812
2025-04-25 09:04:44,@espnfc,16960188,164850,617,3039812
2025-04-25 09:04:46,@espnfc,16960188,164850,617,3039812
2025-04-25 09:04:48,@espnfc,16960188,164850,617,3039812
2025-04-25 09:04:51,@espnfc,16960188,164850,617,3039812
2025-04-25 09:04:53,@espnfc,16960188,164850,617,3039812
2025-04-25 09:04:56,@espnfc,16960189234,164850,617,303980167
2025-04-25 09:04:59,@espnfc,16960194,164850,617,3039806
2025-04-25 09:05:01,@espnfc,16960194,164850,617,3039806
2025-04-25 09:05:04,@espnfc,16960194,164850,617,3039806
2025-04-25 09:05:07,@espnfc,16960194,164850,617,3039806
2025-04-25 09:05:09,@espnfc,16960194,164850,617,3039806
2025-04-25 09:05:12,@espnfc,16960194,164850,617,3039806
2025-04-25 09:05:14,@espnfc,16960194,164850,617,3039806
2025-04-25 09:05:16,@espnfc,16960194,164850,617,3039806
2025-04-25 09:05:19,@espnfc,16960194,164850,617,3039806
2025-04-25 09:05:21,@espnfc,16960194,164850,617,3039806
2025-04-25 09:05:24,@espnfc,16960194,164850,617,3039806
2025-04-25 09:05:26,@espnfc,169601978,164850,617,30398023
2025-04-25 09:05:28,@espnfc,16960198,164850,617,3039802
2025-04-25 09:05:31,@espnfc,16960198,164850,617,3039802
2025-04-25 09:05:33,@espnfc,16960198,164850,617,3039802
2025-04-25 09:05:36,@espnfc,16960198,164850,617,3039802
2025-04-25 09:05:38,@espnfc,16960198,164850,617,3039802
2025-04-25 09:05:40,@espnfc,16960198,164850,617,3039802
2025-04-25 09:05:43,@espnfc,16960198,164850,617,3039802
2025-04-25 09:05:45,@espnfc,16960198,164850,617,3039802
2025-04-25 09:05:47,@espnfc,16960198,164850,617,3039802
2025-04-25 09:05:50,@espnfc,16960198,164850,617,3039802
2025-04-25 09:05:52,@espnfc,16960198,164850,617,3039802
2025-04-25 09:05:55,@espnfc,0000,164850,617,30398012
2025-04-25 09:05:57,@espnfc,16960200,164850,617,3039800
2025-04-25 09:06:00,@espnfc,16960200,164850,617,3039800
2025-04-25 09:06:02,@espnfc,16960200,164850,617,3039800
2025-04-25 09:06:05,@espnfc,16960200,164850,617,3039800
2025-04-25 09:06:07,@espnfc,16960200,164850,617,3039800
2025-04-25 09:06:10,@espnfc,16960200,164850,617,3039800
2025-04-25 09:06:13,@espnfc,16960200,164850,617,3039800
2025-04-25 09:06:15,@espnfc,16960200,164850,617,3039800
2025-04-25 09:06:18,@espnfc,16960200,164850,617,3039800
2025-04-25 09:06:20,@espnfc,16960200,164850,617,3039800
2025-04-25 09:06:23,@espnfc,16960200,164850,617,3039800
2025-04-25 09:06:25,@espnfc,169602012,164850,617,3039789089
2025-04-25 09:06:28,@espnfc,16960202,164850,617,3039798
2025-04-25 09:06:31,@espnfc,16960202,164850,617,3039798
2025-04-25 09:06:33,@espnfc,16960202,164850,617,3039798
2025-04-25 09:06:35,@espnfc,16960202,164850,617,3039798
2025-04-25 09:06:38,@espnfc,16960202,164850,617,3039798
2025-04-25 09:06:40,@espnfc,16960202,164850,617,3039798
2025-04-25 09:06:43,@espnfc,16960202,164850,617,3039798
2025-04-25 09:06:45,@espnfc,16960202,164850,617,3039798
2025-04-25 09:06:47,@espnfc,16960202,164850,617,3039798
2025-04-25 09:06:50,@espnfc,16960202,164850,617,3039798
2025-04-25 09:06:52,@espnfc,16960202,164850,617,3039798
2025-04-25 09:06:54,@espnfc,16960202,164850,617,3039798
2025-04-25 09:06:57,@espnfc,169602034,164850,617,3039796
2025-04-25 09:06:59,@espnfc,16960204,164850,617,3039796
2025-04-25 09:07:02,@espnfc,16960204,164850,617,3039796
2025-04-25 09:07:05,@espnfc,16960204,164850,617,3039796
2025-04-25 09:07:07,@espnfc,16960204,164850,617,3039796
2025-04-25 09:07:10,@espnfc,16960204,164850,617,3039796
