Hora,Usuario,Seguidores,Tweets,Following,Goal
2025-04-25 09:04:23,@jbalvin,10737550,32026,539,9262450
2025-04-25 09:04:38,@jbalvin,10737550,32026,539,9262450
2025-04-25 09:04:40,@jbalvin,10737550,32026,539,9262450
2025-04-25 09:04:42,@jbalvin,10737550,32026,539,9262450
2025-04-25 09:04:45,@jbalvin,10737550,32026,539,9262450
2025-04-25 09:04:47,@jbalvin,10737550,32026,539,9262450
2025-04-25 09:04:49,@jbalvin,10737550,32026,539,9262450
2025-04-25 09:04:52,@jbalvin,10737550,32026,539,9262450
2025-04-25 09:04:54,@jbalvin,10737550,32026,539,9262450
2025-04-25 09:04:56,@jbalvin,10737550,32026,539,9262450
2025-04-25 09:04:59,@jbalvin,10737550,32026,539,9262450
2025-04-25 09:05:01,@jbalvin,0000,32026,539,9262451
2025-04-25 09:05:04,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:05:07,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:05:09,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:05:12,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:05:14,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:05:17,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:05:20,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:05:22,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:05:24,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:05:27,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:05:29,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:05:32,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:05:34,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:05:37,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:05:39,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:05:42,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:05:44,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:05:47,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:05:49,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:05:52,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:05:54,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:05:57,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:05:59,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:06:02,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:06:04,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:06:07,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:06:10,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:06:12,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:06:15,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:06:18,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:06:20,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:06:23,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:06:25,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:06:28,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:06:30,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:06:33,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:06:35,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:06:38,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:06:40,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:06:42,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:06:45,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:06:47,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:06:49,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:06:52,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:06:54,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:06:56,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:06:59,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:07:01,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:07:04,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:07:06,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:07:08,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:07:11,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:07:13,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:07:16,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:07:18,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:07:21,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:07:23,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:07:26,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:07:28,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:07:30,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:07:33,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:07:35,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:07:38,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:07:40,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:07:42,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:07:45,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:07:47,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:07:49,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:07:52,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:07:54,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:07:56,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:07:59,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:08:01,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:08:04,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:08:06,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:08:08,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:08:11,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:08:13,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:08:16,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:08:18,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:08:20,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:08:23,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:08:25,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:08:28,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:08:30,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:08:32,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:08:35,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:08:37,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:08:40,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:08:42,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:08:45,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:08:47,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:08:49,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:08:52,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:08:54,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:08:57,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:08:59,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:09:01,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:09:04,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:09:06,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:09:09,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:09:11,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:09:13,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:09:16,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:09:18,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:09:21,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:09:23,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:09:26,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:09:28,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:09:31,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:09:33,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:09:36,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:09:38,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:09:40,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:09:43,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:09:45,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:09:47,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:09:50,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:09:52,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:09:54,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:09:57,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:09:59,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:10:02,@jbalvin,107375489,32026,539,9262452
2025-04-25 09:10:04,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:10:07,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:10:09,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:10:11,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:10:14,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:10:16,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:10:18,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:10:21,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:10:23,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:10:25,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:10:28,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:10:30,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:10:33,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:10:35,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:10:38,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:10:40,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:10:42,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:10:45,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:10:47,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:10:50,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:10:52,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:10:54,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:10:57,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:10:59,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:11:02,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:11:04,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:11:07,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:11:09,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:11:11,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:11:14,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:11:16,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:11:19,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:11:21,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:11:23,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:11:26,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:11:28,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:11:31,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:11:33,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:11:36,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:11:38,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:11:40,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:11:43,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:11:45,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:11:48,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:11:50,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:11:52,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:11:55,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:11:57,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:12:00,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:12:02,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:12:04,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:12:07,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:12:09,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:12:12,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:12:15,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:12:17,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:12:19,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:12:21,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:12:24,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:12:26,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:12:29,@jbalvin,10737548,32026,539,9262452
2025-04-25 09:12:31,@jbalvin,107375489,32026,539,0000
2025-04-25 09:12:33,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:12:36,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:12:38,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:12:40,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:12:43,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:12:45,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:12:48,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:12:50,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:12:52,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:12:55,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:12:57,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:12:59,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:13:02,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:13:04,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:13:06,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:13:09,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:13:11,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:13:14,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:13:16,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:13:18,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:13:21,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:13:23,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:13:25,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:13:28,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:13:30,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:13:33,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:13:35,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:13:37,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:13:40,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:13:42,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:13:45,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:13:47,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:13:49,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:13:52,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:13:54,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:13:56,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:13:59,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:14:01,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:14:04,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:14:06,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:14:09,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:14:11,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:14:13,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:14:16,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:14:18,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:14:20,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:14:23,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:14:25,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:14:28,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:14:30,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:14:32,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:14:35,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:14:37,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:14:40,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:14:42,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:14:44,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:14:47,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:14:49,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:14:52,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:14:54,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:14:56,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:14:59,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:15:01,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:15:04,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:15:06,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:15:09,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:15:11,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:15:13,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:15:16,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:15:18,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:15:21,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:15:23,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:15:25,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:15:28,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:15:30,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:15:33,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:15:35,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:15:37,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:15:40,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:15:42,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:15:45,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:15:47,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:15:50,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:15:52,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:15:55,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:15:57,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:15:59,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:16:02,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:16:04,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:16:07,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:16:09,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:16:11,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:16:14,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:16:16,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:16:19,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:16:21,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:16:23,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:16:26,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:16:28,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:16:31,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:16:33,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:16:36,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:16:38,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:16:40,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:16:43,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:16:45,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:16:47,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:16:49,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:16:52,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:16:54,@jbalvin,10737549,32026,539,9262451
2025-04-25 09:16:56,@jbalvin,10737549,32026,539,9262451
