Hora,Usuario,Seguidores,Tweets,Following,Goal
2025-04-25 14:48:24,@latina_pe,0,284498,613,687726
2025-04-25 14:48:41,@latina_pe,3312274,284498,613,687726
2025-04-25 14:48:44,@latina_pe,3312274,284498,613,687726
2025-04-25 14:48:46,@latina_pe,3312274,284498,613,687726
2025-04-25 14:48:49,@latina_pe,3312274,284498,613,687726
2025-04-25 14:48:51,@latina_pe,3312274,284498,613,687726
2025-04-25 14:48:53,@latina_pe,3312274,284498,613,687726
2025-04-25 14:48:56,@latina_pe,3312274,284498,613,687726
2025-04-25 14:48:58,@latina_pe,3312274,284498,613,687726
2025-04-25 14:49:01,@latina_pe,3312274,284498,613,687726
2025-04-25 14:49:03,@latina_pe,3312274,284498,613,687726
2025-04-25 14:49:05,@latina_pe,3312274,284498,613,687726
2025-04-25 14:49:08,@latina_pe,3312274,284498,613,687726
2025-04-25 14:49:10,@latina_pe,3312274,284498,613,687726
2025-04-25 14:49:13,@latina_pe,3312274,284498,613,687726
2025-04-25 14:49:15,@latina_pe,3312274,284498,613,687726
2025-04-25 14:49:17,@latina_pe,3312274,284498,613,687726
2025-04-25 14:49:20,@latina_pe,3312274,284498,613,687726
2025-04-25 14:49:22,@latina_pe,3312274,284498,613,687726
2025-04-25 14:49:24,@latina_pe,3312274,284498,613,687726
2025-04-25 14:49:27,@latina_pe,3312274,284498,613,687726
2025-04-25 14:49:29,@latina_pe,3312274,284498,613,687726
2025-04-25 14:49:32,@latina_pe,3312274,284498,613,687726
2025-04-25 14:49:34,@latina_pe,3312274,284498,613,687726
2025-04-25 14:49:36,@latina_pe,3312274,284498,613,687726
2025-04-25 14:49:39,@latina_pe,3312274,284498,613,687726
2025-04-25 14:49:41,@latina_pe,3312274,284498,613,687726
2025-04-25 14:49:44,@latina_pe,3312274,284498,613,687726
2025-04-25 14:49:46,@latina_pe,3312274,284498,613,687726
2025-04-25 14:49:49,@latina_pe,3312274,284498,613,687726
2025-04-25 14:49:51,@latina_pe,3312274,284498,613,687726
2025-04-25 14:49:53,@latina_pe,3312274,284498,613,687726
2025-04-25 14:49:55,@latina_pe,3312274,284498,613,687726
2025-04-25 14:49:58,@latina_pe,3312274,284498,613,687726
2025-04-25 14:50:00,@latina_pe,3312274,284498,613,687726
2025-04-25 14:50:03,@latina_pe,3312274,284498,613,687726
2025-04-25 14:50:05,@latina_pe,3312274,284498,613,687726
2025-04-25 14:50:07,@latina_pe,3312274,284498,613,687726
2025-04-25 14:50:10,@latina_pe,3312274,284498,613,687726
2025-04-25 14:50:12,@latina_pe,3312274,284498,613,687726
2025-04-25 14:50:14,@latina_pe,3312274,284498,613,687726
2025-04-25 14:50:17,@latina_pe,3312274,284498,613,687726
2025-04-25 14:50:19,@latina_pe,3312274,284498,613,687726
2025-04-25 14:50:21,@latina_pe,3312274,284498,613,687726
2025-04-25 14:50:24,@latina_pe,3312274,284498,613,687726
2025-04-25 14:50:26,@latina_pe,3312274,284498,613,687726
