Hora,Usuario,Seguidores,Tweets,Following,Goal
2025-04-24 16:30:32,@metropolitano_l,0,0,0,0
2025-04-24 16:30:42,@metropolitano_l,0,0,0,0
2025-04-24 16:30:44,@metropolitano_l,0000,23879,845,8921
2025-04-24 16:30:47,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:30:49,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:30:52,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:30:54,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:30:56,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:30:58,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:31:00,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:31:03,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:31:05,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:31:07,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:31:09,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:31:11,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:31:13,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:31:16,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:31:18,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:31:20,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:31:22,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:31:24,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:31:27,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:31:29,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:31:31,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:31:33,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:31:35,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:31:37,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:31:40,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:31:42,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:31:44,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:31:46,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:31:48,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:31:51,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:31:53,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:31:55,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:31:57,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:31:59,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:32:02,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:32:04,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:32:06,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:32:08,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:32:10,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:32:12,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:32:15,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:32:17,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:32:19,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:32:21,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:32:23,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:32:26,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:32:28,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:32:30,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:32:32,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:32:34,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:32:36,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:32:39,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:32:41,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:32:43,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:32:45,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:32:47,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:32:50,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:32:52,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:32:54,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:32:56,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:32:58,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:33:00,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:33:03,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:33:05,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:33:07,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:33:09,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:33:11,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:33:14,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:33:16,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:33:18,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:33:20,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:33:22,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:33:24,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:33:27,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:33:29,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:33:31,@metropolitano_l,51079,23879,845,8921
2025-04-24 16:33:33,@metropolitano_l,51079,23879,845,8921
