Hora,Usuario,Seguidores,Tweets,Following,Goal
2025-04-24 16:30:48,@pollofarsantepe,0,0,0,0
2025-04-24 16:30:50,@pollofarsantepe,0000,21760,884,95371
2025-04-24 16:30:55,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:30:57,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:30:59,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:31:01,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:31:03,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:31:06,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:31:08,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:31:10,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:31:12,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:31:14,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:31:16,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:31:19,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:31:21,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:31:23,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:31:25,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:31:28,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:31:30,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:31:32,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:31:34,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:31:36,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:31:39,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:31:41,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:31:43,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:31:45,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:31:47,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:31:50,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:31:52,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:31:54,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:31:56,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:31:58,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:32:01,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:32:03,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:32:05,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:32:07,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:32:09,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:32:11,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:32:14,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:32:16,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:32:18,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:32:20,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:32:22,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:32:25,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:32:27,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:32:29,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:32:31,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:32:33,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:32:36,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:32:38,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:32:40,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:32:42,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:32:44,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:32:47,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:32:49,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:32:51,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:32:53,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:32:55,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:32:57,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:33:00,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:33:02,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:33:04,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:33:06,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:33:08,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:33:11,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:33:13,@pollofarsantepe,304629,21760,884,95371
2025-04-24 16:33:15,@pollofarsantepe,304629,21760,884,95371
