Hora,Usuario,Seguidores,Tweets,Following,Goal
2025-04-24 13:14:45,@spotify,19471628,47612,15873,528372
2025-04-24 13:14:53,@spotify,19471628,47612,15873,528372
2025-04-24 13:14:56,@spotify,19471628,47612,15873,528372
2025-04-24 13:14:58,@spotify,19471628,47612,15873,528372
2025-04-24 13:15:00,@spotify,19471628,47612,15873,528372
2025-04-24 13:15:03,@spotify,19471628,47612,15873,528372
2025-04-24 13:15:05,@spotify,19471628,47612,15873,528372
2025-04-24 13:15:07,@spotify,19471628,47612,15873,528372
2025-04-24 13:15:09,@spotify,19471628,47612,15873,528372
2025-04-24 13:15:12,@spotify,1947162301,47612,15873,52836790
2025-04-24 13:15:14,@spotify,19471631,47612,15873,528369
2025-04-24 13:15:17,@spotify,19471631,47612,15873,528369
2025-04-24 13:15:20,@spotify,19471631,47612,15873,528369
2025-04-24 13:15:22,@spotify,19471631,47612,15873,528369
2025-04-24 13:15:25,@spotify,19471631,47612,15873,528369
2025-04-24 13:15:28,@spotify,19471631,47612,15873,528369
2025-04-24 13:15:30,@spotify,19471631,47612,15873,528369
2025-04-24 13:15:33,@spotify,19471631,47612,15873,528369
2025-04-24 13:15:35,@spotify,19471631,47612,15873,528369
2025-04-24 13:15:37,@spotify,19471631,47612,15873,528369
2025-04-24 13:15:40,@spotify,19471631,47612,15873,528369
2025-04-24 13:15:42,@spotify,19471631,47612,15873,528369
2025-04-24 13:15:45,@spotify,19471631,47612,15873,528369
2025-04-24 13:15:47,@spotify,19471631,47612,15873,528369
2025-04-24 13:15:49,@spotify,19471631,47612,15873,528369
2025-04-24 13:15:52,@spotify,19471631,47612,15873,528369
2025-04-24 13:15:54,@spotify,19471631,47612,15873,528369
2025-04-24 13:15:56,@spotify,19471631,47612,15873,528369
2025-04-24 13:15:59,@spotify,19471631,47612,15873,528369
2025-04-24 13:16:01,@spotify,19471631,47612,15873,528369
2025-04-24 13:16:03,@spotify,19471631,47612,15873,528369
2025-04-24 13:16:06,@spotify,19471631,47612,15873,528369
2025-04-24 13:16:08,@spotify,19471631,47612,15873,528369
2025-04-24 13:16:11,@spotify,19471672393,47612,15873,0000
2025-04-24 13:16:14,@spotify,19471733,47612,15873,528267
2025-04-24 13:16:16,@spotify,19471733,47612,15873,528267
2025-04-24 13:16:19,@spotify,19471733,47612,15873,528267
2025-04-24 13:16:21,@spotify,19471733,47612,15873,528267
2025-04-24 13:16:24,@spotify,19471733,47612,15873,528267
2025-04-24 13:16:26,@spotify,19471733,47612,15873,528267
2025-04-24 13:16:29,@spotify,19471733,47612,15873,528267
2025-04-24 13:16:31,@spotify,19471733,47612,15873,528267
2025-04-24 13:16:33,@spotify,19471733,47612,15873,528267
2025-04-24 13:16:36,@spotify,19471733,47612,15873,528267
2025-04-24 13:16:38,@spotify,19471733,47612,15873,528267
2025-04-24 13:16:40,@spotify,1947174534,47612,15873,52824545
2025-04-24 13:16:43,@spotify,19471758,47612,15873,528242
2025-04-24 13:16:46,@spotify,19471758,47612,15873,528242
2025-04-24 13:16:48,@spotify,19471758,47612,15873,528242
2025-04-24 13:16:50,@spotify,19471758,47612,15873,528242
2025-04-24 13:16:53,@spotify,19471758,47612,15873,528242
2025-04-24 13:16:56,@spotify,19471758,47612,15873,528242
2025-04-24 13:16:58,@spotify,19471758,47612,15873,528242
2025-04-24 13:17:00,@spotify,19471758,47612,15873,528242
2025-04-24 13:17:03,@spotify,19471758,47612,15873,528242
2025-04-24 13:17:05,@spotify,19471758,47612,15873,528242
2025-04-24 13:17:07,@spotify,19471758,47612,15873,528242
2025-04-24 13:17:10,@spotify,0000,47612,15873,52823489
2025-04-24 13:17:12,@spotify,19471766,47612,15873,528234
2025-04-24 13:17:15,@spotify,19471766,47612,15873,528234
2025-04-24 13:17:17,@spotify,19471766,47612,15873,528234
2025-04-24 13:17:20,@spotify,19471766,47612,15873,528234
2025-04-24 13:17:22,@spotify,19471766,47612,15873,528234
2025-04-24 13:17:25,@spotify,19471766,47612,15873,528234
2025-04-24 13:17:28,@spotify,19471766,47612,15873,528234
2025-04-24 13:17:30,@spotify,19471766,47612,15873,528234
2025-04-24 13:17:33,@spotify,19471766,47612,15873,528234
2025-04-24 13:17:35,@spotify,19471766,47612,15873,528234
2025-04-24 13:17:37,@spotify,19471766,47612,15873,528234
2025-04-24 13:17:40,@spotify,194717667,47612,15873,5282334
2025-04-24 13:17:42,@spotify,19471767,47612,15873,528233
2025-04-24 13:17:45,@spotify,19471767,47612,15873,528233
2025-04-24 13:17:47,@spotify,19471767,47612,15873,528233
2025-04-24 13:17:50,@spotify,19471767,47612,15873,528233
2025-04-24 13:17:52,@spotify,19471767,47612,15873,528233
2025-04-24 13:17:55,@spotify,19471767,47612,15873,528233
2025-04-24 13:17:57,@spotify,19471767,47612,15873,528233
2025-04-24 13:17:59,@spotify,19471767,47612,15873,528233
2025-04-24 13:18:02,@spotify,19471767,47612,15873,528233
2025-04-24 13:18:04,@spotify,19471767,47612,15873,528233
2025-04-24 13:18:06,@spotify,19471767,47612,15873,528233
2025-04-24 13:18:09,@spotify,19471767,47612,15873,528233
2025-04-24 13:18:11,@spotify,1947176790,47612,15873,5282301
2025-04-24 13:18:14,@spotify,19471770,47612,15873,528230
2025-04-24 13:18:16,@spotify,19471770,47612,15873,528230
2025-04-24 13:18:18,@spotify,19471770,47612,15873,528230
2025-04-24 13:18:21,@spotify,19471770,47612,15873,528230
2025-04-24 13:18:23,@spotify,19471770,47612,15873,528230
2025-04-24 13:18:25,@spotify,19471770,47612,15873,528230
2025-04-24 13:18:28,@spotify,19471770,47612,15873,528230
2025-04-24 13:18:30,@spotify,19471770,47612,15873,528230
2025-04-24 13:18:33,@spotify,19471770,47612,15873,528230
2025-04-24 13:18:35,@spotify,19471770,47612,15873,528230
2025-04-24 13:18:37,@spotify,19471770,47612,15873,528230
2025-04-24 13:18:40,@spotify,19471770,47612,15873,528230
2025-04-24 13:18:42,@spotify,0000,47612,15873,528225
2025-04-24 13:18:44,@spotify,19471775,47612,15873,528225
2025-04-24 13:18:47,@spotify,19471775,47612,15873,528225
2025-04-24 13:18:49,@spotify,19471775,47612,15873,528225
2025-04-24 13:18:52,@spotify,19471775,47612,15873,528225
2025-04-24 13:18:54,@spotify,19471775,47612,15873,528225
2025-04-24 13:18:56,@spotify,19471775,47612,15873,528225
2025-04-24 13:18:59,@spotify,19471775,47612,15873,528225
2025-04-24 13:19:01,@spotify,19471775,47612,15873,528225
2025-04-24 13:19:03,@spotify,19471775,47612,15873,528225
2025-04-24 13:19:06,@spotify,19471775,47612,15873,528225
2025-04-24 13:19:08,@spotify,19471775,47612,15873,528225
2025-04-24 13:19:10,@spotify,19471778456,47612,15873,52820189
2025-04-24 13:19:13,@spotify,19471796,47612,15873,528204
2025-04-24 13:19:16,@spotify,19471796,47612,15873,528204
2025-04-24 13:19:18,@spotify,19471796,47612,15873,528204
2025-04-24 13:19:20,@spotify,19471796,47612,15873,528204
2025-04-24 13:19:23,@spotify,19471796,47612,15873,528204
2025-04-24 13:19:25,@spotify,19471796,47612,15873,528204
2025-04-24 13:19:27,@spotify,19471796,47612,15873,528204
2025-04-24 13:19:30,@spotify,19471796,47612,15873,528204
2025-04-24 13:19:32,@spotify,19471796,47612,15873,528204
2025-04-24 13:19:35,@spotify,19471796,47612,15873,528204
2025-04-24 13:19:37,@spotify,19471796,47612,15873,528204
2025-04-24 13:19:40,@spotify,19471796,47612,15873,52812909
2025-04-24 13:19:43,@spotify,19471805,47612,15873,528195
2025-04-24 13:19:45,@spotify,19471805,47612,15873,528195
2025-04-24 13:19:47,@spotify,19471805,47612,15873,528195
2025-04-24 13:19:50,@spotify,19471805,47612,15873,528195
2025-04-24 13:19:52,@spotify,19471805,47612,15873,528195
2025-04-24 13:19:54,@spotify,19471805,47612,15873,528195
2025-04-24 13:19:57,@spotify,19471805,47612,15873,528195
2025-04-24 13:19:59,@spotify,19471805,47612,15873,528195
2025-04-24 13:20:02,@spotify,19471805,47612,15873,528195
2025-04-24 13:20:04,@spotify,19471805,47612,15873,528195
2025-04-24 13:20:07,@spotify,19471805,47612,15873,528195
2025-04-24 13:20:09,@spotify,19471805,47612,15873,528195
2025-04-24 13:20:12,@spotify,0000,47612,15873,528192
2025-04-24 13:20:14,@spotify,19471808,47612,15873,528192
2025-04-24 13:20:17,@spotify,19471808,47612,15873,528192
2025-04-24 13:20:19,@spotify,19471808,47612,15873,528192
2025-04-24 13:20:22,@spotify,19471808,47612,15873,528192
2025-04-24 13:20:24,@spotify,19471808,47612,15873,528192
2025-04-24 13:20:26,@spotify,19471808,47612,15873,528192
2025-04-24 13:20:29,@spotify,19471808,47612,15873,528192
2025-04-24 13:20:31,@spotify,19471808,47612,15873,528192
2025-04-24 13:20:33,@spotify,19471808,47612,15873,528192
2025-04-24 13:20:36,@spotify,19471808,47612,15873,528192
2025-04-24 13:20:38,@spotify,19471808,47612,15873,528192
2025-04-24 13:20:40,@spotify,1947180112,47612,15873,52818978
2025-04-24 13:20:43,@spotify,19471814,47612,15873,528186
2025-04-24 13:20:45,@spotify,19471814,47612,15873,528186
2025-04-24 13:20:48,@spotify,19471814,47612,15873,528186
2025-04-24 13:20:50,@spotify,19471814,47612,15873,528186
2025-04-24 13:20:52,@spotify,19471814,47612,15873,528186
2025-04-24 13:20:55,@spotify,19471814,47612,15873,528186
2025-04-24 13:20:57,@spotify,19471814,47612,15873,528186
2025-04-24 13:20:59,@spotify,19471814,47612,15873,528186
2025-04-24 13:21:02,@spotify,19471814,47612,15873,528186
2025-04-24 13:21:04,@spotify,19471814,47612,15873,528186
2025-04-24 13:21:06,@spotify,19471814,47612,15873,528186
2025-04-24 13:21:09,@spotify,19471814,47612,15873,528186
2025-04-24 13:21:11,@spotify,194718178,47612,15873,5281823
2025-04-24 13:21:14,@spotify,19471819,47612,15873,528181
2025-04-24 13:21:16,@spotify,19471819,47612,15873,528181
2025-04-24 13:21:18,@spotify,19471819,47612,15873,528181
2025-04-24 13:21:21,@spotify,19471819,47612,15873,528181
2025-04-24 13:21:23,@spotify,19471819,47612,15873,528181
2025-04-24 13:21:25,@spotify,19471819,47612,15873,528181
