Hora,Usuario,Seguidores,Tweets,Following,Goal
2025-04-25 09:04:24,@tufpf,1322367,13486,392,677633
2025-04-25 09:04:37,@tufpf,1322367,13486,392,677633
2025-04-25 09:04:40,@tufpf,1322367,13486,392,677633
2025-04-25 09:04:42,@tufpf,1322367,13486,392,677633
2025-04-25 09:04:44,@tufpf,1322367,13486,392,677633
2025-04-25 09:04:47,@tufpf,1322367,13486,392,677633
2025-04-25 09:04:49,@tufpf,1322367,13486,392,677633
2025-04-25 09:04:51,@tufpf,1322367,13486,392,677633
2025-04-25 09:04:54,@tufpf,1322367,13486,392,677633
2025-04-25 09:04:56,@tufpf,1322367,13486,392,677633
2025-04-25 09:04:59,@tufpf,1322367,13486,392,677633
2025-04-25 09:05:01,@tufpf,1322367,13486,392,677633
2025-04-25 09:05:04,@tufpf,1322367,13486,392,677633
2025-04-25 09:05:07,@tufpf,1322367,13486,392,677633
2025-04-25 09:05:09,@tufpf,1322367,13486,392,677633
2025-04-25 09:05:11,@tufpf,1322367,13486,392,677633
2025-04-25 09:05:13,@tufpf,1322367,13486,392,677633
2025-04-25 09:05:16,@tufpf,1322367,13486,392,677633
2025-04-25 09:05:18,@tufpf,1322367,13486,392,677633
2025-04-25 09:05:21,@tufpf,1322367,13486,392,677633
2025-04-25 09:05:23,@tufpf,1322367,13486,392,677633
2025-04-25 09:05:25,@tufpf,1322367,13486,392,677633
2025-04-25 09:05:27,@tufpf,1322367,13486,392,677633
2025-04-25 09:05:30,@tufpf,1322367,13486,392,677633
2025-04-25 09:05:32,@tufpf,1322367,13486,392,677633
2025-04-25 09:05:34,@tufpf,1322367,13486,392,677633
2025-04-25 09:05:37,@tufpf,1322367,13486,392,677633
2025-04-25 09:05:39,@tufpf,1322367,13486,392,677633
2025-04-25 09:05:42,@tufpf,1322367,13486,392,677633
2025-04-25 09:05:44,@tufpf,1322367,13486,392,677633
2025-04-25 09:05:47,@tufpf,1322367,13486,392,677633
2025-04-25 09:05:49,@tufpf,1322367,13486,392,677633
2025-04-25 09:05:52,@tufpf,1322367,13486,392,677633
2025-04-25 09:05:54,@tufpf,1322367,13486,392,677633
2025-04-25 09:05:56,@tufpf,1322367,13486,392,677633
2025-04-25 09:05:59,@tufpf,1322367,13486,392,677633
2025-04-25 09:06:02,@tufpf,1322367,13486,392,677633
2025-04-25 09:06:04,@tufpf,1322367,13486,392,677633
2025-04-25 09:06:06,@tufpf,1322367,13486,392,677633
2025-04-25 09:06:09,@tufpf,1322367,13486,392,677633
2025-04-25 09:06:11,@tufpf,1322367,13486,392,677633
2025-04-25 09:06:13,@tufpf,1322367,13486,392,677633
2025-04-25 09:06:16,@tufpf,1322367,13486,392,677633
2025-04-25 09:06:18,@tufpf,1322367,13486,392,677633
2025-04-25 09:06:20,@tufpf,1322367,13486,392,677633
2025-04-25 09:06:23,@tufpf,1322367,13486,392,677633
2025-04-25 09:06:25,@tufpf,1322367,13486,392,677633
2025-04-25 09:06:28,@tufpf,1322367,13486,392,677633
2025-04-25 09:06:31,@tufpf,1322367,13486,392,677633
2025-04-25 09:06:33,@tufpf,1322367,13486,392,677633
2025-04-25 09:06:35,@tufpf,1322367,13486,392,677633
2025-04-25 09:06:38,@tufpf,1322367,13486,392,677633
2025-04-25 09:06:40,@tufpf,1322367,13486,392,677633
2025-04-25 09:06:42,@tufpf,1322367,13486,392,677633
2025-04-25 09:06:45,@tufpf,1322367,13486,392,677633
2025-04-25 09:06:47,@tufpf,1322367,13486,392,677633
2025-04-25 09:06:49,@tufpf,1322367,13486,392,677633
2025-04-25 09:06:52,@tufpf,1322367,13486,392,677633
2025-04-25 09:06:54,@tufpf,1322367,13486,392,677633
2025-04-25 09:06:56,@tufpf,1322367,13486,392,677633
2025-04-25 09:06:59,@tufpf,1322367,13486,392,677633
2025-04-25 09:07:02,@tufpf,1322367,13486,392,677633
2025-04-25 09:07:04,@tufpf,1322367,13486,392,677633
2025-04-25 09:07:06,@tufpf,1322367,13486,392,677633
2025-04-25 09:07:08,@tufpf,1322367,13486,392,677633
2025-04-25 09:07:11,@tufpf,1322367,13486,392,677633
2025-04-25 09:07:13,@tufpf,1322367,13486,392,677633
2025-04-25 09:07:16,@tufpf,1322367,13486,392,677633
2025-04-25 09:07:18,@tufpf,1322367,13486,392,677633
2025-04-25 09:07:21,@tufpf,1322367,13486,392,677633
2025-04-25 09:07:23,@tufpf,1322367,13486,392,677633
2025-04-25 09:07:25,@tufpf,1322367,13486,392,677633
2025-04-25 09:07:28,@tufpf,1322367,13486,392,677633
2025-04-25 09:07:30,@tufpf,1322367,13486,392,677633
2025-04-25 09:07:33,@tufpf,1322367,13486,392,677633
2025-04-25 09:07:35,@tufpf,1322367,13486,392,677633
2025-04-25 09:07:37,@tufpf,1322367,13486,392,677633
2025-04-25 09:07:40,@tufpf,1322367,13486,392,677633
2025-04-25 09:07:42,@tufpf,1322367,13486,392,677633
2025-04-25 09:07:45,@tufpf,1322367,13486,392,677633
2025-04-25 09:07:47,@tufpf,1322367,13486,392,677633
2025-04-25 09:07:49,@tufpf,1322367,13486,392,677633
2025-04-25 09:07:52,@tufpf,1322367,13486,392,677633
2025-04-25 09:07:54,@tufpf,1322367,13486,392,677633
2025-04-25 09:07:56,@tufpf,1322367,13486,392,677633
2025-04-25 09:07:59,@tufpf,1322367,13486,392,677633
2025-04-25 09:08:01,@tufpf,1322367,13486,392,677633
2025-04-25 09:08:04,@tufpf,1322367,13486,392,677633
2025-04-25 09:08:06,@tufpf,1322367,13486,392,677633
2025-04-25 09:08:08,@tufpf,1322367,13486,392,677633
2025-04-25 09:08:11,@tufpf,1322367,13486,392,677633
2025-04-25 09:08:13,@tufpf,1322367,13486,392,677633
2025-04-25 09:08:16,@tufpf,1322367,13486,392,677633
2025-04-25 09:08:18,@tufpf,1322367,13486,392,677633
2025-04-25 09:08:20,@tufpf,1322367,13486,392,677633
2025-04-25 09:08:23,@tufpf,1322367,13486,392,677633
2025-04-25 09:08:25,@tufpf,1322367,13486,392,677633
2025-04-25 09:08:27,@tufpf,1322367,13486,392,677633
2025-04-25 09:08:30,@tufpf,1322367,13486,392,677633
2025-04-25 09:08:32,@tufpf,1322367,13486,392,677633
2025-04-25 09:08:34,@tufpf,1322367,13486,392,677633
2025-04-25 09:08:36,@tufpf,1322367,13486,392,677633
2025-04-25 09:08:39,@tufpf,1322367,13486,392,677633
2025-04-25 09:08:41,@tufpf,1322367,13486,392,677633
2025-04-25 09:08:43,@tufpf,1322367,13486,392,677633
2025-04-25 09:08:46,@tufpf,1322367,13486,392,677633
2025-04-25 09:08:48,@tufpf,1322367,13486,392,677633
