Hora,Usuario,Seguidores,Tweets,Following,Goal
2025-04-24 13:38:29,@unicef,0,0,0,0
2025-04-24 13:38:42,@unicef,9186071,61110,809,813929
2025-04-24 13:38:49,@unicef,9186071,61110,809,813929
2025-04-24 13:38:51,@unicef,9186071,61110,809,813929
2025-04-24 13:38:54,@unicef,9186071,61110,809,813929
2025-04-24 13:38:56,@unicef,9186071,61110,809,813929
2025-04-24 13:38:59,@unicef,9186071,61110,809,813929
2025-04-24 13:39:02,@unicef,9186071,61110,809,813929
2025-04-24 13:39:05,@unicef,9186071,61110,809,813929
2025-04-24 13:39:07,@unicef,9186071,61110,809,813929
2025-04-24 13:39:10,@unicef,9186071,61110,809,81392390
2025-04-24 13:39:12,@unicef,9186070,61110,809,813930
2025-04-24 13:39:14,@unicef,9186070,61110,809,813930
2025-04-24 13:39:18,@unicef,9186070,61110,809,813930
2025-04-24 13:39:20,@unicef,9186070,61110,809,813930
2025-04-24 13:39:23,@unicef,9186070,61110,809,813930
2025-04-24 13:39:26,@unicef,9186070,61110,809,813930
2025-04-24 13:39:28,@unicef,9186070,61110,809,813930
2025-04-24 13:39:31,@unicef,9186070,61110,809,813930
2025-04-24 13:39:34,@unicef,9186070,61110,809,813930
2025-04-24 13:39:37,@unicef,9186070,61110,809,813930
2025-04-24 13:39:40,@unicef,9186070,61110,809,813930
2025-04-24 13:39:43,@unicef,9186070,61110,809,813930
2025-04-24 13:39:45,@unicef,9186070,61110,809,813930
2025-04-24 13:39:48,@unicef,9186070,61110,809,813930
2025-04-24 13:39:52,@unicef,9186070,61110,809,813930
2025-04-24 13:39:55,@unicef,9186070,61110,809,813930
2025-04-24 13:39:57,@unicef,9186070,61110,809,813930
2025-04-24 13:40:00,@unicef,9186070,61110,809,813930
2025-04-24 13:40:02,@unicef,9186070,61110,809,813930
2025-04-24 13:40:05,@unicef,9186070,61110,809,813930
2025-04-24 13:40:07,@unicef,9186070,61110,809,813930
2025-04-24 13:40:10,@unicef,9186070,61110,809,813930
2025-04-24 13:40:12,@unicef,9186070,61110,809,813930
2025-04-24 13:40:15,@unicef,9186070,61110,809,813930
2025-04-24 13:40:17,@unicef,9186070,61110,809,813930
2025-04-24 13:40:20,@unicef,9186070,61110,809,813930
2025-04-24 13:40:22,@unicef,9186070,61110,809,813930
2025-04-24 13:40:24,@unicef,9186070,61110,809,813930
2025-04-24 13:40:27,@unicef,9186070,61110,809,813930
2025-04-24 13:40:29,@unicef,9186070,61110,809,813930
2025-04-24 13:40:32,@unicef,9186070,61110,809,813930
2025-04-24 13:40:35,@unicef,9186070,61110,809,813930
2025-04-24 13:40:37,@unicef,9186070,61110,809,813930
2025-04-24 13:40:40,@unicef,9186070,61110,809,813930
2025-04-24 13:40:42,@unicef,9186070,61110,809,813930
2025-04-24 13:40:45,@unicef,9186070,61110,809,813930
2025-04-24 13:40:47,@unicef,9186070,61110,809,813930
2025-04-24 13:40:50,@unicef,9186070,61110,809,813930
