Hora,Usuario,Seguidores,Tweets,Following,Goal
2025-04-24 12:41:07,@canaln_,0000,,,
2025-04-24 12:41:19,@canaln_,0,0,0,0
2025-04-24 12:41:22,@canaln_,0000,259187,550,412701
2025-04-24 12:41:25,@canaln_,3587299,259187,550,412701
2025-04-24 12:41:27,@canaln_,3587299,259187,550,412701
2025-04-24 12:41:29,@canaln_,3587299,259187,550,412701
2025-04-24 12:41:31,@canaln_,3587299,259187,550,412701
2025-04-24 12:41:34,@canaln_,3587299,259187,550,412701
2025-04-24 12:41:36,@canaln_,3587299,259187,550,412701
2025-04-24 12:41:38,@canaln_,3587299,259187,550,412701
2025-04-24 12:41:40,@canaln_,3587299,259187,550,412701
2025-04-24 12:41:42,@canaln_,3587299,259187,550,412701
2025-04-24 12:41:45,@canaln_,3587299,259187,550,412701
2025-04-24 12:41:47,@canaln_,3587299,259187,550,412701
2025-04-24 12:41:49,@canaln_,3587299,259187,550,412701
2025-04-24 12:41:51,@canaln_,3587299,259187,550,412701
2025-04-24 12:41:53,@canaln_,3587299,259187,550,412701
2025-04-24 12:41:56,@canaln_,3587299,259187,550,412701
2025-04-24 12:41:58,@canaln_,3587299,259187,550,412701
2025-04-24 12:42:00,@canaln_,3587299,259187,550,412701
2025-04-24 12:42:02,@canaln_,3587299,259187,550,412701
2025-04-24 12:42:05,@canaln_,3587299,259187,550,412701
2025-04-24 12:42:07,@canaln_,3587299,259187,550,412701
2025-04-24 12:42:09,@canaln_,3587299,259187,550,412701
2025-04-24 12:42:11,@canaln_,3587299,259187,550,412701
2025-04-24 12:42:14,@canaln_,3587299,259187,550,412701
2025-04-24 12:42:16,@canaln_,3587299,259187,550,412701
2025-04-24 12:42:18,@canaln_,3587299,259187,550,412701
2025-04-24 12:42:21,@canaln_,3587299,259187,550,412701
