Hora,Usuario,Seguidores,Tweets,Following,Goal
2025-04-25 14:48:21,@clubaloficial,0,52382,51,45484
2025-04-25 14:48:37,@clubaloficial,654516,52382,51,45484
2025-04-25 14:48:40,@clubaloficial,654516,52382,51,45484
2025-04-25 14:48:42,@clubaloficial,654516,52382,51,45484
2025-04-25 14:48:45,@clubaloficial,654516,52382,51,45484
2025-04-25 14:48:47,@clubaloficial,654516,52382,51,45484
2025-04-25 14:48:49,@clubaloficial,654516,52382,51,45484
2025-04-25 14:48:51,@clubaloficial,654516,52382,51,45484
2025-04-25 14:48:54,@clubaloficial,654516,52382,51,45484
2025-04-25 14:48:56,@clubaloficial,654516,52382,51,45484
2025-04-25 14:48:58,@clubaloficial,654516,52382,51,45484
2025-04-25 14:49:01,@clubaloficial,654516,52382,51,45484
2025-04-25 14:49:03,@clubaloficial,654516,52382,51,45484
2025-04-25 14:49:06,@clubaloficial,654516,52382,51,45484
2025-04-25 14:49:08,@clubaloficial,654516,52382,51,45484
2025-04-25 14:49:10,@clubaloficial,654516,52382,51,45484
2025-04-25 14:49:13,@clubaloficial,654516,52382,51,45484
2025-04-25 14:49:15,@clubaloficial,654516,52382,51,45484
2025-04-25 14:49:18,@clubaloficial,654516,52382,51,45484
2025-04-25 14:49:20,@clubaloficial,654516,52382,51,45484
2025-04-25 14:49:22,@clubaloficial,654516,52382,51,45484
2025-04-25 14:49:25,@clubaloficial,654516,52382,51,45484
2025-04-25 14:49:27,@clubaloficial,654516,52382,51,45484
2025-04-25 14:49:29,@clubaloficial,654516,52382,51,45484
2025-04-25 14:49:32,@clubaloficial,654516,52382,51,45484
2025-04-25 14:49:34,@clubaloficial,654516,52382,51,45484
2025-04-25 14:49:37,@clubaloficial,654516,52382,51,45484
2025-04-25 14:49:39,@clubaloficial,654516,52382,51,45484
2025-04-25 14:49:42,@clubaloficial,654516,52382,51,45484
2025-04-25 14:49:44,@clubaloficial,654516,52382,51,45484
2025-04-25 14:49:47,@clubaloficial,654516,52382,51,45484
2025-04-25 14:49:49,@clubaloficial,654516,52382,51,45484
2025-04-25 14:49:51,@clubaloficial,654516,52382,51,45484
2025-04-25 14:49:53,@clubaloficial,654516,52382,51,45484
2025-04-25 14:49:56,@clubaloficial,654516,52382,51,45484
2025-04-25 14:49:58,@clubaloficial,654516,52382,51,45484
2025-04-25 14:50:00,@clubaloficial,654516,52382,51,45484
2025-04-25 14:50:03,@clubaloficial,654516,52382,51,45484
2025-04-25 14:50:05,@clubaloficial,654516,52382,51,45484
2025-04-25 14:50:07,@clubaloficial,654516,52382,51,45484
2025-04-25 14:50:10,@clubaloficial,654516,52382,51,45484
2025-04-25 14:50:12,@clubaloficial,654516,52382,51,45484
2025-04-25 14:50:14,@clubaloficial,654516,52382,51,45484
2025-04-25 14:50:17,@clubaloficial,654516,52382,51,45484
2025-04-25 14:50:19,@clubaloficial,654516,52382,51,45484
2025-04-25 14:50:21,@clubaloficial,654516,52382,51,45484
2025-04-25 14:50:24,@clubaloficial,654516,52382,51,45484
2025-04-25 14:50:26,@clubaloficial,654516,52382,51,45484
2025-04-25 14:50:28,@clubaloficial,654516,52382,51,45484
2025-04-25 14:50:30,@clubaloficial,654516,52382,51,45484
2025-04-25 14:50:33,@clubaloficial,654516,52382,51,45484
2025-04-25 14:50:35,@clubaloficial,654516,52382,51,45484
2025-04-25 14:50:37,@clubaloficial,654516,52382,51,45484
2025-04-25 14:50:40,@clubaloficial,654516,52382,51,45484
2025-04-25 14:50:42,@clubaloficial,654516,52382,51,45484
2025-04-25 14:50:44,@clubaloficial,654516,52382,51,45484
2025-04-25 14:50:47,@clubaloficial,654516,52382,51,45484
2025-04-25 14:50:49,@clubaloficial,654516,52382,51,45484
2025-04-25 14:50:51,@clubaloficial,654516,52382,51,45484
2025-04-25 14:50:54,@clubaloficial,654516,52382,51,45484
2025-04-25 14:50:56,@clubaloficial,654516,52382,51,45484
2025-04-25 14:50:58,@clubaloficial,654516,52382,51,45484
2025-04-25 14:51:01,@clubaloficial,654516,52382,51,45484
2025-04-25 14:51:03,@clubaloficial,654516,52382,51,45484
2025-04-25 14:51:06,@clubaloficial,654516,52382,51,45484
2025-04-25 14:51:08,@clubaloficial,654516,52382,51,45484
2025-04-25 14:51:10,@clubaloficial,654516,52382,51,45484
2025-04-25 14:51:13,@clubaloficial,654516,52382,51,45484
