Hora,Usuario,Seguidores,Tweets,Following,Goal
2025-04-23 23:31:46,@elonmusk,0000,,,
2025-04-23 23:31:48,@elonmusk,0000,0000,1111,80462495
2025-04-23 23:31:52,@elonmusk,219537505,77374,1111,80462495
2025-04-23 23:31:55,@elonmusk,219537505,77374,1111,80462495
2025-04-23 23:31:57,@elonmusk,219537505,77374,1111,80462495
2025-04-23 23:31:59,@elonmusk,219537505,77374,1111,80462495
2025-04-23 23:32:01,@elonmusk,219537505,77374,1111,80462495
2025-04-23 23:32:04,@elonmusk,21953752367,77374,1111,8046246723
2025-04-23 23:32:06,@elonmusk,219537538,77374,1111,80462462
2025-04-23 23:32:08,@elonmusk,219537538,77374,1111,80462462
2025-04-23 23:32:11,@elonmusk,219537538,77374,1111,80462462
2025-04-23 23:32:13,@elonmusk,219537538,77374,1111,80462462
2025-04-23 23:32:15,@elonmusk,219537538,77374,1111,80462462
2025-04-23 23:32:17,@elonmusk,219537534891,77374,1111,804624454
2025-04-23 23:32:20,@elonmusk,219537575,77374,1111,80462425
2025-04-23 23:32:22,@elonmusk,219537575,77374,1111,80462425
2025-04-23 23:32:24,@elonmusk,219537575,77374,1111,80462425
2025-04-23 23:32:27,@elonmusk,219537575,77374,1111,80462425
2025-04-23 23:32:29,@elonmusk,219537575,77374,1111,80462425
2025-04-23 23:32:31,@elonmusk,219537575,77374,1111,80462425
2025-04-23 23:32:33,@elonmusk,21953756723,77374,1111,8046242389
2025-04-23 23:32:36,@elonmusk,219537569,77374,1111,80462431
2025-04-23 23:32:38,@elonmusk,219537569,77374,1111,80462431
2025-04-23 23:32:40,@elonmusk,219537569,77374,1111,80462431
2025-04-23 23:32:42,@elonmusk,219537569,77374,1111,80462431
2025-04-23 23:32:45,@elonmusk,219537569,77374,1111,80462431
2025-04-23 23:32:47,@elonmusk,219537569,77374,1111,80462431
2025-04-23 23:32:49,@elonmusk,219537569,77374,1111,80462431
2025-04-23 23:32:51,@elonmusk,219537569,77374,1111,80462431
2025-04-23 23:32:54,@elonmusk,219537569,77374,1111,80462431
2025-04-23 23:32:56,@elonmusk,219537569,77374,1111,80462431
2025-04-23 23:32:58,@elonmusk,219537569,77374,1111,80462431
2025-04-23 23:34:38,@elonmusk,0,0,0,0
2025-04-23 23:34:42,@elonmusk,0,0,0,0
2025-04-23 23:34:44,@elonmusk,0,0,0,0
2025-04-23 23:34:46,@elonmusk,0,0,0,0
2025-04-23 23:34:49,@elonmusk,0,0,0,0
2025-04-23 23:34:51,@elonmusk,0,0,0,0
2025-04-23 23:35:11,@elonmusk,0,0,0,0
2025-04-23 23:35:15,@elonmusk,0000,77374,1111,80462221
2025-04-23 23:35:18,@elonmusk,219537779,77374,1111,80462221
2025-04-23 23:35:20,@elonmusk,219537779,77374,1111,80462221
2025-04-23 23:35:22,@elonmusk,219537779,77374,1111,80462221
2025-04-23 23:35:25,@elonmusk,219537779,77374,1111,80462221
2025-04-23 23:35:27,@elonmusk,219537779,77374,1111,80462221
2025-04-23 23:35:29,@elonmusk,21953777801,77374,1111,8046221290
2025-04-23 23:35:31,@elonmusk,219537781,77374,1111,80462219
2025-04-23 23:35:34,@elonmusk,219537781,77374,1111,80462219
2025-04-23 23:35:36,@elonmusk,219537781,77374,1111,80462219
2025-04-23 23:35:38,@elonmusk,219537781,77374,1111,80462219
2025-04-23 23:35:40,No encontrado,0000,0000,0000,0000
2025-04-23 23:38:28,@elonmusk,0,0,0,0
2025-04-23 23:38:32,@elonmusk,0,0,0,0
2025-04-23 23:38:34,@elonmusk,0,0,0,0
2025-04-23 23:38:36,@elonmusk,0,0,0,0
