Hora,Usuario,Seguidores,Tweets,Following,Goal
2025-04-23 23:41:30,@elonmusk,0,0,0,0
2025-04-23 23:41:34,@elonmusk,0,0,0,0
2025-04-23 23:41:36,@elonmusk,0,0,0,0
2025-04-23 23:41:38,@elonmusk,0,0,0,0
2025-04-23 23:41:40,@elonmusk,0,0,0,0
2025-04-23 23:41:42,@elonmusk,0,0,0,0
2025-04-23 23:41:44,@elonmusk,0,0,0,0
2025-04-23 23:41:46,@elonmusk,0,0,0,0
2025-04-23 23:41:49,@elonmusk,0,0,0,0
2025-04-23 23:42:09,@elonmusk,0,0,0,0
2025-04-23 23:42:12,@elonmusk,0000,77374,1111,80461697
2025-04-23 23:42:16,@elonmusk,219538303,77374,1111,80461697
2025-04-23 23:42:18,@elonmusk,219538303,77374,1111,80461697
2025-04-23 23:42:21,@elonmusk,219538303,77374,1111,80461697
2025-04-23 23:42:23,@elonmusk,219538303,77374,1111,80461697
2025-04-23 23:42:25,@elonmusk,219538303,77374,1111,80461697
2025-04-23 23:42:28,@elonmusk,219538303,77374,1111,80461697
2025-04-23 23:42:30,@elonmusk,219538303,77374,1111,80461697
2025-04-23 23:42:32,@elonmusk,219538303,77374,1111,80461697
2025-04-23 23:42:34,@elonmusk,219538303,77374,1111,80461697
2025-04-23 23:42:36,@elonmusk,219538303,77374,1111,80461697
2025-04-23 23:42:39,@elonmusk,219538303,77374,1111,80461697
2025-04-23 23:42:41,@elonmusk,219538334124,77374,1111,8046165656
2025-04-23 23:42:43,@elonmusk,219538347,77374,1111,80461653
2025-04-23 23:42:46,@elonmusk,219538347,77374,1111,80461653
2025-04-23 23:42:48,@elonmusk,219538347,77374,1111,80461653
2025-04-23 23:42:50,@elonmusk,219538347,77374,1111,80461653
2025-04-23 23:42:53,@elonmusk,219538347,77374,1111,80461653
2025-04-23 23:42:55,@elonmusk,219538347,77374,1111,0000
2025-04-23 23:44:08,@elonmusk,0,0,0,0
2025-04-23 23:44:11,@elonmusk,0000,77374,1111,80461539
2025-04-23 23:44:14,@elonmusk,219538461,77374,1111,80461539
2025-04-23 23:44:17,@elonmusk,219538461,77374,1111,80461539
2025-04-23 23:44:19,@elonmusk,219538461,77374,1111,80461539
2025-04-23 23:44:21,@elonmusk,219538461,77374,1111,80461539
2025-04-23 23:44:23,@elonmusk,219538461,77374,1111,80461539
2025-04-23 23:44:26,@elonmusk,21953845623,77374,1111,80461548
2025-04-23 23:44:28,@elonmusk,219538452,77374,1111,80461548
2025-04-23 23:44:30,@elonmusk,219538452,77374,1111,80461548
2025-04-23 23:44:32,@elonmusk,219538452,77374,1111,80461548
2025-04-23 23:44:35,@elonmusk,219538452,77374,1111,80461548
2025-04-23 23:44:37,@elonmusk,219538452,77374,1111,80461548
2025-04-23 23:44:39,@elonmusk,21953846791,77374,1111,8046151256
2025-04-23 23:44:42,@elonmusk,219538498,77374,1111,80461502
2025-04-23 23:44:44,@elonmusk,219538498,77374,1111,80461502
2025-04-23 23:44:46,@elonmusk,219538498,77374,1111,80461502
2025-04-23 23:44:48,@elonmusk,219538498,77374,1111,80461502
2025-04-23 23:44:51,@elonmusk,219538498,77374,1111,80461502
2025-04-23 23:44:53,@elonmusk,219538498,77374,1111,80461502
2025-04-23 23:44:55,@elonmusk,2195384989,77374,1111,804615012
2025-04-23 23:44:57,@elonmusk,219538499,77374,1111,80461501
2025-04-23 23:45:00,@elonmusk,219538499,77374,1111,80461501
2025-04-23 23:45:02,@elonmusk,219538499,77374,1111,80461501
