Hora,Usuario,Seguidores,Tweets,Following,Goal
2025-04-24 14:44:47,@exitosape,0,0,0,0
2025-04-24 14:44:50,@exitosape,0,0,0,0
2025-04-24 14:44:52,@exitosape,0000,448184,943,912407
2025-04-24 14:44:55,@exitosape,1087593,448184,943,912407
2025-04-24 14:44:58,@exitosape,1087593,448184,943,912407
2025-04-24 14:45:00,@exitosape,1087593,448184,943,912407
2025-04-24 14:45:03,@exitosape,1087593,448184,943,912407
2025-04-24 14:45:05,@exitosape,1087593,448184,943,912407
2025-04-24 14:45:08,@exitosape,1087593,448184,943,912407
2025-04-24 14:45:10,@exitosape,1087593,448184,943,912407
2025-04-24 14:45:13,@exitosape,1087593,448184,943,912407
2025-04-24 14:45:15,@exitosape,1087593,448184,943,912407
2025-04-24 14:45:18,@exitosape,1087593,448184,943,912407
2025-04-24 14:45:20,@exitosape,1087593,448184,943,912407
2025-04-24 14:45:22,@exitosape,1087593,448184,943,912407
2025-04-24 14:45:25,@exitosape,1087593,448184,943,912407
2025-04-24 14:45:27,@exitosape,1087593,448184,943,912407
2025-04-24 14:45:29,@exitosape,1087593,448184,943,912407
2025-04-24 14:45:32,@exitosape,1087593,448184,943,912407
2025-04-24 14:45:34,@exitosape,1087593,448184,943,912407
2025-04-24 14:45:36,@exitosape,1087593,448184,943,912407
2025-04-24 14:45:39,@exitosape,1087593,448184,943,912407
2025-04-24 14:45:41,@exitosape,1087593,448184,943,912407
2025-04-24 14:45:44,@exitosape,1087593,448184,943,912407
2025-04-24 14:45:46,@exitosape,1087593,448184,943,912407
2025-04-24 14:45:48,@exitosape,1087593,448184,943,912407
2025-04-24 14:45:51,@exitosape,1087593,448184,943,912407
2025-04-24 14:45:53,@exitosape,1087593,448184,943,912407
2025-04-24 14:45:55,@exitosape,1087593,448184,943,912407
2025-04-24 14:45:58,@exitosape,1087593,448184,943,912407
2025-04-24 14:46:00,@exitosape,1087593,448184,943,912407
2025-04-24 14:46:03,@exitosape,1087593,448184,943,912407
2025-04-24 14:46:05,@exitosape,1087593,448184,943,912407
2025-04-24 14:46:07,@exitosape,1087593,448184,943,912407
2025-04-24 14:46:10,@exitosape,1087593,448184,943,912407
2025-04-24 14:46:12,@exitosape,1087593,448184,943,912407
2025-04-24 14:46:14,@exitosape,1087593,448184,943,912407
2025-04-24 14:46:17,@exitosape,1087593,448184,943,912407
2025-04-24 14:46:19,@exitosape,1087593,448184,943,912407
2025-04-24 14:46:21,@exitosape,1087593,448184,943,912407
2025-04-24 14:46:24,@exitosape,1087593,448184,943,912407
2025-04-24 14:46:26,@exitosape,1087593,448184,943,912407
2025-04-24 14:46:29,@exitosape,1087593,448184,943,912407
2025-04-24 14:46:31,@exitosape,1087593,448184,943,912407
2025-04-24 14:46:33,@exitosape,1087593,448184,943,912407
2025-04-24 14:46:35,@exitosape,1087593,448184,943,912407
2025-04-24 14:46:38,@exitosape,1087593,448184,943,912407
2025-04-24 14:46:40,@exitosape,1087593,448184,943,912407
2025-04-24 14:46:42,@exitosape,1087593,448184,943,912407
2025-04-24 14:46:45,@exitosape,1087593,448184,943,912407
2025-04-24 14:46:47,@exitosape,1087593,448184,943,912407
2025-04-24 14:46:50,@exitosape,1087593,448184,943,912407
2025-04-24 14:46:52,@exitosape,1087593,448184,943,912407
2025-04-24 14:46:54,@exitosape,1087593,448184,943,912407
2025-04-24 14:46:57,@exitosape,1087593,448184,943,912407
2025-04-24 14:46:59,@exitosape,1087593,448184,943,912407
2025-04-24 14:47:01,@exitosape,1087593,448184,943,912407
2025-04-24 14:47:04,@exitosape,1087593,448184,943,912407
2025-04-24 14:47:06,@exitosape,1087593,448184,943,912407
2025-04-24 14:47:09,@exitosape,1087593,448184,943,912407
2025-04-24 14:47:11,@exitosape,1087593,448184,943,912407
2025-04-24 14:47:13,@exitosape,1087593,448184,943,912407
2025-04-24 14:47:16,@exitosape,1087593,448184,943,912407
2025-04-24 14:47:18,@exitosape,1087593,448184,943,912407
2025-04-24 14:47:21,@exitosape,10875934,448184,943,912406
2025-04-24 14:47:23,@exitosape,1087594,448184,943,912406
2025-04-24 14:47:25,@exitosape,1087594,448184,943,912406
2025-04-24 14:47:28,@exitosape,1087594,448184,943,912406
2025-04-24 14:47:30,@exitosape,1087594,448184,943,912406
2025-04-24 14:47:32,@exitosape,1087594,448184,943,912406
2025-04-24 14:47:35,@exitosape,1087594,448184,943,912406
2025-04-24 14:47:38,@exitosape,1087594,448184,943,912406
2025-04-24 14:47:41,@exitosape,1087594,448184,943,912406
2025-04-24 14:47:44,@exitosape,1087594,448184,943,912406
2025-04-24 14:47:46,@exitosape,1087594,448184,943,912406
2025-04-24 14:47:49,@exitosape,1087594,448184,943,912406
2025-04-24 14:47:52,@exitosape,1087594,448184,943,912406
2025-04-24 14:47:54,@exitosape,1087594,448184,943,912406
2025-04-24 14:47:57,@exitosape,1087594,448184,943,912406
2025-04-24 14:47:59,@exitosape,1087594,448184,943,912406
2025-04-24 14:48:02,@exitosape,1087594,448184,943,912406
2025-04-24 14:48:04,@exitosape,1087594,448184,943,912406
2025-04-24 14:48:07,@exitosape,1087594,448184,943,912406
2025-04-24 14:48:09,@exitosape,1087594,448184,943,912406
2025-04-24 14:48:12,@exitosape,1087594,448184,943,912406
2025-04-24 14:48:14,@exitosape,1087594,448184,943,912406
2025-04-24 14:48:17,@exitosape,1087594,448184,943,912406
2025-04-24 14:48:19,@exitosape,1087594,448184,943,912406
2025-04-24 14:48:22,@exitosape,1087594,448184,943,912406
2025-04-24 14:48:24,@exitosape,1087594,448184,943,912406
2025-04-24 14:48:27,@exitosape,1087594,448184,943,912406
2025-04-24 14:50:28,@exitosape,0000,0000,0000,0000
2025-04-24 14:50:35,@exitosape,0000,0000,0000,0000
2025-04-24 14:50:37,@exitosape,0000,0000,0000,0000
2025-04-24 14:50:39,@exitosape,0000,0000,0000,0000
2025-04-24 14:50:41,@exitosape,0000,0000,0000,0000
2025-04-24 14:50:43,@exitosape,0000,0000,0000,0000
2025-04-24 14:50:47,@exitosape,0000,0000,0000,0000
2025-04-24 14:50:49,@exitosape,0000,0000,0000,0000
2025-04-24 14:50:51,@exitosape,0000,0000,0000,0000
2025-04-24 14:50:53,@exitosape,0000,0000,0000,0000
2025-04-24 14:50:55,@exitosape,0000,0000,0000,0000
2025-04-24 14:50:57,@exitosape,0000,0000,0000,0000
2025-04-24 14:50:59,@exitosape,0000,0000,0000,0000
2025-04-24 14:51:01,@exitosape,0000,0000,0000,0000
2025-04-24 14:51:03,@exitosape,0000,0000,0000,0000
2025-04-24 14:51:05,@exitosape,0000,0000,0000,0000
2025-04-24 14:51:07,@exitosape,0000,0000,0000,0000
2025-04-24 14:51:09,@exitosape,0000,0000,0000,0000
2025-04-24 14:51:11,@exitosape,0000,0000,0000,0000
2025-04-24 14:51:13,@exitosape,0000,0000,0000,0000
2025-04-24 14:51:15,@exitosape,0000,0000,0000,0000
2025-04-24 14:51:17,@exitosape,0000,0000,0000,0000
2025-04-24 14:51:19,@exitosape,0000,0000,0000,0000
2025-04-24 14:51:21,@exitosape,0000,0000,0000,0000
2025-04-24 14:51:23,@exitosape,0000,0000,0000,0000
2025-04-24 14:51:25,@exitosape,0000,0000,0000,0000
2025-04-24 14:51:27,@exitosape,0000,0000,0000,0000
2025-04-24 14:51:29,@exitosape,0000,0000,0000,0000
2025-04-24 14:51:31,@exitosape,0000,0000,0000,0000
2025-04-24 14:51:33,@exitosape,0000,0000,0000,0000
2025-04-24 14:51:35,@exitosape,0000,0000,0000,0000
2025-04-24 14:51:37,@exitosape,0000,0000,0000,0000
2025-04-24 14:51:39,@exitosape,0000,0000,0000,0000
2025-04-24 14:51:41,@exitosape,0000,0000,0000,0000
2025-04-24 14:51:43,@exitosape,0000,0000,0000,0000
2025-04-24 14:51:45,@exitosape,0000,0000,0000,0000
2025-04-24 14:51:47,@exitosape,0000,0000,0000,0000
2025-04-24 14:51:49,@exitosape,0000,0000,0000,0000
2025-04-24 14:51:51,@exitosape,0000,0000,0000,0000
2025-04-24 14:51:53,@exitosape,0000,0000,0000,0000
2025-04-24 14:51:55,@exitosape,0000,0000,0000,0000
2025-04-24 14:51:57,@exitosape,0000,0000,0000,0000
2025-04-24 14:51:59,@exitosape,0000,0000,0000,0000
2025-04-24 14:55:11,@exitosape,0000,0000,0000,0000
2025-04-24 14:55:13,@exitosape,0000,0000,0000,0000
2025-04-24 14:55:15,@exitosape,0000,0000,0000,0000
2025-04-24 14:56:11,@exitosape,0000,0000,0000,0000
2025-04-24 14:56:13,@exitosape,0000,0000,0000,0000
2025-04-24 14:56:15,@exitosape,0000,0000,0000,0000
2025-04-24 14:56:17,@exitosape,0000,0000,0000,0000
2025-04-24 14:56:19,@exitosape,0000,0000,0000,0000
2025-04-24 14:56:21,@exitosape,0000,0000,0000,0000
2025-04-24 14:56:23,@exitosape,0000,0000,0000,0000
2025-04-24 14:56:25,@exitosape,0000,0000,0000,0000
2025-04-24 14:56:27,@exitosape,0000,0000,0000,0000
2025-04-24 14:56:29,@exitosape,0000,0000,0000,0000
2025-04-24 14:56:31,@exitosape,0000,0000,0000,0000
2025-04-24 14:56:33,@exitosape,0000,0000,0000,0000
2025-04-24 14:56:35,@exitosape,0000,0000,0000,0000
2025-04-24 14:56:37,@exitosape,0000,0000,0000,0000
2025-04-24 14:56:39,@exitosape,0000,0000,0000,0000
2025-04-24 14:56:41,@exitosape,0000,0000,0000,0000
2025-04-24 14:56:43,@exitosape,0000,0000,0000,0000
2025-04-24 14:56:45,@exitosape,0000,0000,0000,0000
2025-04-24 14:56:47,@exitosape,0000,0000,0000,0000
2025-04-24 14:56:49,@exitosape,0000,0000,0000,0000
2025-04-24 14:56:51,@exitosape,0000,0000,0000,0000
2025-04-24 14:56:53,@exitosape,0000,0000,0000,0000
2025-04-24 14:56:55,@exitosape,0000,0000,0000,0000
2025-04-24 14:56:57,@exitosape,0000,0000,0000,0000
2025-04-24 14:56:59,@exitosape,0000,0000,0000,0000
2025-04-24 14:57:01,@exitosape,0000,0000,0000,0000
2025-04-24 14:57:03,@exitosape,0000,0000,0000,0000
2025-04-24 14:57:05,@exitosape,0000,0000,0000,0000
2025-04-24 14:57:07,@exitosape,0000,0000,0000,0000
2025-04-24 14:57:09,@exitosape,0000,0000,0000,0000
2025-04-24 14:57:11,@exitosape,0000,0000,0000,0000
2025-04-24 14:57:13,@exitosape,0000,0000,0000,0000
2025-04-24 14:57:15,@exitosape,0000,0000,0000,0000
2025-04-24 14:57:17,@exitosape,0000,0000,0000,0000
2025-04-24 14:57:19,@exitosape,0000,0000,0000,0000
2025-04-24 14:57:21,@exitosape,0000,0000,0000,0000
2025-04-24 14:57:23,@exitosape,0000,0000,0000,0000
2025-04-24 14:57:25,@exitosape,0000,0000,0000,0000
2025-04-24 14:57:27,@exitosape,0000,0000,0000,0000
2025-04-24 14:57:29,@exitosape,0000,0000,0000,0000
2025-04-24 14:57:31,@exitosape,0000,0000,0000,0000
2025-04-24 14:57:33,@exitosape,0000,0000,0000,0000
2025-04-24 14:57:35,@exitosape,0000,0000,0000,0000
2025-04-24 14:57:37,@exitosape,0000,0000,0000,0000
2025-04-24 14:57:39,@exitosape,0000,0000,0000,0000
2025-04-24 14:57:41,@exitosape,0000,0000,0000,0000
2025-04-24 14:57:43,@exitosape,0000,0000,0000,0000
2025-04-24 14:57:45,@exitosape,0000,0000,0000,0000
2025-04-24 14:57:47,@exitosape,0000,0000,0000,0000
2025-04-24 14:57:49,@exitosape,0000,0000,0000,0000
2025-04-24 14:57:51,@exitosape,0000,0000,0000,0000
2025-04-24 14:57:53,@exitosape,0000,0000,0000,0000
2025-04-24 14:57:55,@exitosape,0000,0000,0000,0000
2025-04-24 14:57:57,@exitosape,0000,0000,0000,0000
2025-04-24 14:57:59,@exitosape,0000,0000,0000,0000
2025-04-24 14:58:01,@exitosape,0000,0000,0000,0000
2025-04-24 14:58:03,@exitosape,0000,0000,0000,0000
2025-04-24 14:58:05,@exitosape,0000,0000,0000,0000
2025-04-24 14:58:07,@exitosape,0000,0000,0000,0000
2025-04-24 14:58:09,@exitosape,0000,0000,0000,0000
2025-04-24 14:58:11,@exitosape,0000,0000,0000,0000
2025-04-24 14:58:13,@exitosape,0000,0000,0000,0000
2025-04-24 14:58:15,@exitosape,0000,0000,0000,0000
2025-04-24 14:58:17,@exitosape,0000,0000,0000,0000
2025-04-24 14:58:19,@exitosape,0000,0000,0000,0000
2025-04-24 14:58:21,@exitosape,0000,0000,0000,0000
2025-04-24 14:58:23,@exitosape,0000,0000,0000,0000
2025-04-24 14:58:25,@exitosape,0000,0000,0000,0000
2025-04-24 14:58:27,@exitosape,0000,0000,0000,0000
2025-04-24 14:58:29,@exitosape,0000,0000,0000,0000
2025-04-24 14:58:31,@exitosape,0000,0000,0000,0000
2025-04-24 14:58:33,@exitosape,0000,0000,0000,0000
2025-04-24 14:58:35,@exitosape,0000,0000,0000,0000
2025-04-24 14:58:37,@exitosape,0000,0000,0000,0000
2025-04-24 14:58:39,@exitosape,0000,0000,0000,0000
2025-04-24 14:58:41,@exitosape,0000,0000,0000,0000
2025-04-24 14:58:43,@exitosape,0000,0000,0000,0000
2025-04-24 14:58:45,@exitosape,0000,0000,0000,0000
2025-04-24 14:58:47,@exitosape,0000,0000,0000,0000
