Hora,Usuario,Seguidores,Tweets,Following,Goal
2025-04-25 14:48:14,@gaston_acurio,0,0,0,0
2025-04-25 14:48:28,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:48:38,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:48:41,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:48:44,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:48:46,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:48:49,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:48:51,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:48:53,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:48:56,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:48:58,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:49:01,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:49:03,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:49:05,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:49:08,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:49:10,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:49:13,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:49:15,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:49:17,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:49:20,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:49:22,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:49:24,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:49:27,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:49:29,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:49:32,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:49:34,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:49:37,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:49:39,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:49:42,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:49:44,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:49:47,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:49:49,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:49:51,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:49:54,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:49:56,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:49:58,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:50:01,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:50:03,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:50:05,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:50:07,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:50:10,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:50:12,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:50:14,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:50:17,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:50:19,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:50:21,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:50:24,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:50:26,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:50:28,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:50:31,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:50:33,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:50:35,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:50:38,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:50:40,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:50:42,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:50:45,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:50:47,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:50:49,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:50:52,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:50:54,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:50:56,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:50:59,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:51:01,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:51:03,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:51:06,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:51:08,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:51:10,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:51:13,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:51:15,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:51:17,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:51:20,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:51:22,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:51:24,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:51:26,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:51:29,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:51:31,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:51:33,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:51:36,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:51:38,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:51:40,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:51:43,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:51:45,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:51:47,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:51:49,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:51:52,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:51:54,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:51:56,@gaston_acurio,1958098,21821,1378,41902
2025-04-25 14:51:59,@gaston_acurio,1958098,21821,1378,41902
