Hora,Usuario,Seguidores,Tweets,Following,Goal
2025-04-24 13:35:59,@nacional_memes,361529,81641,1706,38471
2025-04-24 13:36:02,@nacional_memes,361529,81641,1706,38471
2025-04-24 13:36:05,@nacional_memes,361529,81641,1706,38471
2025-04-24 13:36:08,@nacional_memes,361529,81641,1706,38471
2025-04-24 13:36:10,@nacional_memes,361529,81641,1706,38471
2025-04-24 13:36:12,@nacional_memes,361529,81641,1706,38471
2025-04-24 13:36:15,@nacional_memes,361529,81641,1706,38471
2025-04-24 13:36:17,@nacional_memes,361529,81641,1706,38471
2025-04-24 13:36:20,@nacional_memes,361529,81641,1706,38471
2025-04-24 13:36:23,@nacional_memes,361529,81641,1706,38471
2025-04-24 13:36:25,@nacional_memes,361529,81641,1706,38471
2025-04-24 13:36:28,@nacional_memes,361529,81641,1706,38471
2025-04-24 13:36:30,@nacional_memes,361529,81641,1706,38471
2025-04-24 13:36:32,@nacional_memes,361529,81641,1706,38471
2025-04-24 13:36:35,@nacional_memes,361529,81641,1706,38471
2025-04-24 13:36:37,@nacional_memes,361529,81641,1706,38471
2025-04-24 13:36:39,@nacional_memes,361529,81641,1706,38471
2025-04-24 13:36:42,@nacional_memes,361529,81641,1706,38471
2025-04-24 13:36:44,@nacional_memes,361529,81641,1706,38471
