Hora,Usuario,Seguidores,Tweets,Following,Goal
2025-04-24 16:30:42,@rlopezaliaga1,0,0,0,0
2025-04-24 16:30:52,@rlopezaliaga1,0000,153620,8631,82175
2025-04-24 16:30:56,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:30:58,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:31:00,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:31:03,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:31:05,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:31:07,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:31:09,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:31:11,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:31:14,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:31:16,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:31:18,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:31:20,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:31:22,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:31:25,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:31:27,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:31:29,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:31:31,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:31:33,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:31:36,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:31:38,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:31:40,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:31:42,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:31:44,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:31:47,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:31:49,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:31:51,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:31:53,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:31:55,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:31:58,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:32:00,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:32:02,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:32:04,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:32:06,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:32:09,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:32:11,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:32:13,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:32:15,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:32:17,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:32:20,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:32:22,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:32:24,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:32:26,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:32:28,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:32:31,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:32:33,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:32:35,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:32:37,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:32:39,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:32:42,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:32:44,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:32:46,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:32:48,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:32:50,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:32:53,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:32:55,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:32:57,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:32:59,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:33:01,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:33:03,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:33:06,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:33:08,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:33:10,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:33:12,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:33:14,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:33:17,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:33:19,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:33:21,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:33:23,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:33:25,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:33:28,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:33:30,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:33:32,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:33:34,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:33:36,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:33:39,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:33:41,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:33:43,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:33:45,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:33:47,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:33:50,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:33:52,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:33:54,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:33:56,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:33:58,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:34:01,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:34:03,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:34:05,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:34:07,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:34:09,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:34:12,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:34:14,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:34:16,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:34:18,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:34:20,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:34:22,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:34:25,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:34:27,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:34:29,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:34:31,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:34:33,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:34:36,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:34:38,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:34:40,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:34:42,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:34:44,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:34:47,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:34:49,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:34:51,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:34:53,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:34:55,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:34:58,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:35:00,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:35:02,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:35:04,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:35:06,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:35:09,@rlopezaliaga1,317825,153620,8631,82175
2025-04-24 16:35:11,@rlopezaliaga1,317825,153620,8631,82175
