Hora,Usuario,Seguidores,Tweets,Following,Goal
2025-04-25 14:48:31,@rmapalacios,0000,143257,87,219866
2025-04-25 14:48:41,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:48:44,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:48:46,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:48:48,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:48:51,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:48:53,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:48:55,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:48:58,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:49:00,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:49:02,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:49:05,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:49:07,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:49:09,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:49:12,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:49:14,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:49:16,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:49:18,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:49:21,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:49:23,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:49:25,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:49:28,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:49:30,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:49:33,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:49:35,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:49:37,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:49:40,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:49:42,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:49:44,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:49:47,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:49:49,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:49:52,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:49:54,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:49:56,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:49:59,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:50:01,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:50:03,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:50:06,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:50:08,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:50:10,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:50:13,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:50:15,@rmapalacios,3780134,143257,87,219866
2025-04-25 14:50:17,@rmapalacios,3780134,143257,87,219866
