Hora,Usuario,Seguidores,Tweets,Following,Goal
2025-04-24 13:14:38,@uniceflac,0000,25704,1526,76297
2025-04-24 13:14:55,@uniceflac,123703,25704,1526,76297
2025-04-24 13:14:57,@uniceflac,123703,25704,1526,76297
2025-04-24 13:14:59,@uniceflac,123703,25704,1526,76297
2025-04-24 13:15:02,@uniceflac,123703,25704,1526,76297
2025-04-24 13:15:04,@uniceflac,123703,25704,1526,76297
2025-04-24 13:15:06,@uniceflac,123703,25704,1526,76297
2025-04-24 13:15:09,@uniceflac,123703,25704,1526,76297
2025-04-24 13:15:11,@uniceflac,123703,25704,1526,76297
2025-04-24 13:15:14,@uniceflac,123703,25704,1526,76297
2025-04-24 13:15:16,@uniceflac,123703,25704,1526,76297
2025-04-24 13:15:19,@uniceflac,123703,25704,1526,76297
2025-04-24 13:15:22,@uniceflac,123703,25704,1526,76297
2025-04-24 13:15:25,@uniceflac,123703,25704,1526,76297
2025-04-24 13:15:28,@uniceflac,123703,25704,1526,76297
2025-04-24 13:15:31,@uniceflac,123703,25704,1526,76297
2025-04-24 13:15:34,@uniceflac,123703,25704,1526,76297
2025-04-24 13:15:36,@uniceflac,123703,25704,1526,76297
2025-04-24 13:15:39,@uniceflac,123703,25704,1526,76297
2025-04-24 13:15:41,@uniceflac,123703,25704,1526,76297
2025-04-24 13:15:44,@uniceflac,123703,25704,1526,76297
2025-04-24 13:15:46,@uniceflac,123703,25704,1526,76297
2025-04-24 13:15:48,@uniceflac,123703,25704,1526,76297
2025-04-24 13:15:51,@uniceflac,123703,25704,1526,76297
2025-04-24 13:15:53,@uniceflac,123703,25704,1526,76297
2025-04-24 13:15:55,@uniceflac,123703,25704,1526,76297
2025-04-24 13:15:58,@uniceflac,123703,25704,1526,76297
2025-04-24 13:16:00,@uniceflac,123703,25704,1526,76297
2025-04-24 13:16:03,@uniceflac,123703,25704,1526,76297
2025-04-24 13:16:05,@uniceflac,123703,25704,1526,76297
2025-04-24 13:16:08,@uniceflac,123703,25704,1526,76297
2025-04-24 13:16:10,@uniceflac,123703,25704,1526,76297
2025-04-24 13:16:13,@uniceflac,123703,25704,1526,76297
2025-04-24 13:16:15,@uniceflac,123703,25704,1526,76297
2025-04-24 13:16:17,@uniceflac,123703,25704,1526,76297
2025-04-24 13:16:20,@uniceflac,123703,25704,1526,76297
2025-04-24 13:16:22,@uniceflac,123703,25704,1526,76297
2025-04-24 13:16:24,@uniceflac,123703,25704,1526,76297
2025-04-24 13:16:26,@uniceflac,123703,25704,1526,76297
2025-04-24 13:16:29,@uniceflac,123703,25704,1526,76297
2025-04-24 13:16:31,@uniceflac,123703,25704,1526,76297
2025-04-24 13:16:34,@uniceflac,123703,25704,1526,76297
2025-04-24 13:16:36,@uniceflac,123703,25704,1526,76297
2025-04-24 13:16:38,@uniceflac,123703,25704,1526,76297
2025-04-24 13:16:41,@uniceflac,123703,25704,1526,76297
2025-04-24 13:16:43,@uniceflac,123703,25704,1526,76297
2025-04-24 13:16:45,@uniceflac,123703,25704,1526,76297
2025-04-24 13:16:48,@uniceflac,123703,25704,1526,76297
2025-04-24 13:16:50,@uniceflac,123703,25704,1526,76297
2025-04-24 13:16:53,@uniceflac,123703,25704,1526,76297
2025-04-24 13:16:55,@uniceflac,123703,25704,1526,76297
2025-04-24 13:16:58,@uniceflac,123703,25704,1526,76297
2025-04-24 13:17:00,@uniceflac,123703,25704,1526,76297
