Hora,Usuario,Seguidores,Tweets,Following,Goal
2025-04-24 16:30:42,@willaxtv,0,0,0,0
2025-04-24 16:30:52,@willaxtv,0,0,0,0
2025-04-24 16:30:54,@willaxtv,0000,274390,1026,32047
2025-04-24 16:30:56,@willaxtv,767953,274390,1026,32047
2025-04-24 16:30:59,@willaxtv,767953,274390,1026,32047
2025-04-24 16:31:01,@willaxtv,767953,274390,1026,32047
2025-04-24 16:31:03,@willaxtv,767953,274390,1026,32047
2025-04-24 16:31:05,@willaxtv,767953,274390,1026,32047
2025-04-24 16:31:08,@willaxtv,767953,274390,1026,32047
2025-04-24 16:31:10,@willaxtv,767953,274390,1026,32047
2025-04-24 16:31:12,@willaxtv,767953,274390,1026,32047
2025-04-24 16:31:14,@willaxtv,767953,274390,1026,32047
2025-04-24 16:31:16,@willaxtv,767953,274390,1026,32047
2025-04-24 16:31:19,@willaxtv,767953,274390,1026,32047
2025-04-24 16:31:21,@willaxtv,767953,274390,1026,32047
2025-04-24 16:31:23,@willaxtv,767953,274390,1026,32047
2025-04-24 16:31:25,@willaxtv,767953,274390,1026,32047
2025-04-24 16:31:28,@willaxtv,767953,274390,1026,32047
2025-04-24 16:31:30,@willaxtv,767953,274390,1026,32047
2025-04-24 16:31:32,@willaxtv,767953,274390,1026,32047
2025-04-24 16:31:34,@willaxtv,767953,274390,1026,32047
2025-04-24 16:31:36,@willaxtv,767953,274390,1026,32047
2025-04-24 16:31:39,@willaxtv,767953,274390,1026,32047
2025-04-24 16:31:41,@willaxtv,767953,274390,1026,32047
2025-04-24 16:31:43,@willaxtv,767953,274390,1026,32047
2025-04-24 16:31:45,@willaxtv,767953,274390,1026,32047
2025-04-24 16:31:47,@willaxtv,767953,274390,1026,32047
2025-04-24 16:31:50,@willaxtv,767953,274390,1026,32047
2025-04-24 16:31:52,@willaxtv,767953,274390,1026,32047
2025-04-24 16:31:54,@willaxtv,767953,274390,1026,32047
2025-04-24 16:31:56,@willaxtv,767953,274390,1026,32047
2025-04-24 16:31:58,@willaxtv,767953,274390,1026,32047
2025-04-24 16:32:01,@willaxtv,767953,274390,1026,32047
2025-04-24 16:32:03,@willaxtv,767953,274390,1026,32047
2025-04-24 16:32:05,@willaxtv,767953,274390,1026,32047
2025-04-24 16:32:07,@willaxtv,767953,274390,1026,32047
2025-04-24 16:32:09,@willaxtv,767953,274390,1026,32047
2025-04-24 16:32:12,@willaxtv,767953,274390,1026,32047
2025-04-24 16:32:14,@willaxtv,767953,274390,1026,32047
2025-04-24 16:32:16,@willaxtv,767953,274390,1026,32047
2025-04-24 16:32:18,@willaxtv,767953,274390,1026,32047
2025-04-24 16:32:20,@willaxtv,767953,274390,1026,32047
2025-04-24 16:32:23,@willaxtv,767953,274390,1026,32047
2025-04-24 16:32:25,@willaxtv,767953,274390,1026,32047
2025-04-24 16:32:27,@willaxtv,767953,274390,1026,32047
2025-04-24 16:32:29,@willaxtv,767953,274390,1026,32047
2025-04-24 16:32:31,@willaxtv,767953,274390,1026,32047
2025-04-24 16:32:34,@willaxtv,767953,274390,1026,32047
2025-04-24 16:32:36,@willaxtv,767953,274390,1026,32047
2025-04-24 16:32:38,@willaxtv,767953,274390,1026,32047
2025-04-24 16:32:40,@willaxtv,767953,274390,1026,32047
2025-04-24 16:32:42,@willaxtv,767953,274390,1026,32047
2025-04-24 16:32:45,@willaxtv,767953,274390,1026,32047
2025-04-24 16:32:47,@willaxtv,767953,274390,1026,32047
2025-04-24 16:32:49,@willaxtv,767953,274390,1026,32047
2025-04-24 16:32:51,@willaxtv,7679534,274390,1026,320467
2025-04-24 16:32:53,@willaxtv,767954,274390,1026,32046
2025-04-24 16:32:56,@willaxtv,767954,274390,1026,32046
2025-04-24 16:32:58,@willaxtv,767954,274390,1026,32046
2025-04-24 16:33:00,@willaxtv,767954,274390,1026,32046
2025-04-24 16:33:02,@willaxtv,767954,274390,1026,32046
2025-04-24 16:33:04,@willaxtv,767954,274390,1026,32046
2025-04-24 16:33:06,@willaxtv,767954,274390,1026,32046
2025-04-24 16:33:09,@willaxtv,767954,274390,1026,32046
2025-04-24 16:33:11,@willaxtv,767954,274390,1026,32046
2025-04-24 16:33:13,@willaxtv,767954,274390,1026,32046
2025-04-24 16:33:15,@willaxtv,767954,274390,1026,32046
2025-04-24 16:33:17,@willaxtv,767954,274390,1026,32046
2025-04-24 16:33:20,@willaxtv,767954,274390,1026,32046
2025-04-24 16:33:22,@willaxtv,767954,274390,1026,32046
2025-04-24 16:33:24,@willaxtv,767954,274390,1026,32046
2025-04-24 16:33:26,@willaxtv,767954,274390,1026,32046
2025-04-24 16:33:28,@willaxtv,767954,274390,1026,32046
2025-04-24 16:33:31,@willaxtv,767954,274390,1026,32046
2025-04-24 16:33:33,@willaxtv,767954,274390,1026,32046
2025-04-24 16:33:35,@willaxtv,767954,274390,1026,32046
2025-04-24 16:33:37,@willaxtv,767954,274390,1026,32046
2025-04-24 16:33:39,@willaxtv,767954,274390,1026,32046
2025-04-24 16:33:42,@willaxtv,767954,274390,1026,32046
2025-04-24 16:33:44,@willaxtv,767954,274390,1026,32046
2025-04-24 16:33:46,@willaxtv,767954,274390,1026,32046
2025-04-24 16:33:48,@willaxtv,767954,274390,1026,32046
2025-04-24 16:33:50,@willaxtv,767954,274390,1026,32046
2025-04-24 16:33:53,@willaxtv,767954,274390,1026,32046
2025-04-24 16:33:55,@willaxtv,767954,274390,1026,32046
2025-04-24 16:33:57,@willaxtv,767954,274390,1026,32046
2025-04-24 16:33:59,@willaxtv,767954,274390,1026,32046
2025-04-24 16:34:01,@willaxtv,767954,274390,1026,32046
2025-04-24 16:34:04,@willaxtv,767954,274390,1026,32046
2025-04-24 16:34:06,@willaxtv,767954,274390,1026,32046
2025-04-24 16:34:08,@willaxtv,767954,274390,1026,32046
2025-04-24 16:34:10,@willaxtv,767954,274390,1026,32046
2025-04-24 16:34:12,@willaxtv,767954,274390,1026,32046
2025-04-24 16:34:15,@willaxtv,767954,274390,1026,32046
2025-04-24 16:34:17,@willaxtv,767954,274390,1026,32046
2025-04-24 16:34:19,@willaxtv,767954,274390,1026,32046
2025-04-24 16:34:21,@willaxtv,767954,274390,1026,32046
2025-04-24 16:34:23,@willaxtv,767954,274390,1026,32046
2025-04-24 16:34:26,@willaxtv,767954,274390,1026,32046
2025-04-24 16:34:28,@willaxtv,767954,274390,1026,32046
